session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Edu,North Central,Kwara,Edu,,,292,0,16,32,21,18.25,9.125,13.9048
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ekiti,North Central,Kwara,Ekiti,,,303,0,12,33,21,25.25,9.1818,14.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ilorin East,North Central,Kwara,Ilorin East,,,283,0,12,32,20,23.5833,8.8438,14.15
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ilorin West,North Central,Kwara,Ilorin West,,,344,0,16,36,23,21.5,9.5556,14.9565
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Offa,North Central,Kwara,Offa,,,265,0,12,29,20,22.0833,9.1379,13.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Edu,North Central,Kwara,Edu,,,225,0,16,26,17,14.0625,8.6538,13.2353
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ekiti,North Central,Kwara,Ekiti,,,235,0,12,27,18,19.5833,8.7037,13.0556
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ilorin East,North Central,Kwara,Ilorin East,,,220,0,12,25,17,18.3333,8.8,12.9412
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ilorin West,North Central,Kwara,Ilorin West,,,270,0,16,30,20,16.875,9.0,13.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Offa,North Central,Kwara,Offa,,,207,0,12,26,18,17.25,7.9615,11.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Edu,North Central,Kwara,Edu,,,125,0,16,17,13,7.8125,7.3529,9.6154
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ekiti,North Central,Kwara,Ekiti,,,129,0,16,18,13,8.0625,7.1667,9.9231
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ilorin East,North Central,Kwara,Ilorin East,,,122,0,12,16,12,10.1667,7.625,10.1667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ilorin West,North Central,Kwara,Ilorin West,,,147,0,16,18,13,9.1875,8.1667,11.3077
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Offa,North Central,Kwara,Offa,,,112,0,12,15,12,9.3333,7.4667,9.3333
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Edu,North Central,Kwara,Edu,,,941,0,28,40,24,33.6071,23.525,39.2083
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ekiti,North Central,Kwara,Ekiti,,,918,0,28,40,25,32.7857,22.95,36.72
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ilorin East,North Central,Kwara,Ilorin East,,,990,0,28,42,26,35.3571,23.5714,38.0769
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ilorin West,North Central,Kwara,Ilorin West,,,1036,0,28,43,26,37.0,24.093,39.8462
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Offa,North Central,Kwara,Offa,,,1143,0,32,49,29,35.7188,23.3265,39.4138
2019/2020,Female,all,Private,JSS,JSS2,,lga,Edu,North Central,Kwara,Edu,,,773,0,28,36,22,27.6071,21.4722,35.1364
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ekiti,North Central,Kwara,Ekiti,,,754,0,28,33,20,26.9286,22.8485,37.7
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ilorin East,North Central,Kwara,Ilorin East,,,808,0,28,35,21,28.8571,23.0857,38.4762
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ilorin West,North Central,Kwara,Ilorin West,,,853,0,28,36,23,30.4643,23.6944,37.087
2019/2020,Female,all,Private,JSS,JSS2,,lga,Offa,North Central,Kwara,Offa,,,937,0,32,40,24,29.2812,23.425,39.0417
2019/2020,Female,all,Private,JSS,JSS3,,lga,Edu,North Central,Kwara,Edu,,,617,0,28,29,20,22.0357,21.2759,30.85
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ekiti,North Central,Kwara,Ekiti,,,600,0,28,29,20,21.4286,20.6897,30.0
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ilorin East,North Central,Kwara,Ilorin East,,,646,0,28,30,20,23.0714,21.5333,32.3
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ilorin West,North Central,Kwara,Ilorin West,,,679,0,28,30,20,24.25,22.6333,33.95
2019/2020,Female,all,Private,JSS,JSS3,,lga,Offa,North Central,Kwara,Offa,,,746,0,32,33,21,23.3125,22.6061,35.5238
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Edu,North Central,Kwara,Edu,,,2654,0,44,128,73,60.3182,20.7344,36.3562
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ekiti,North Central,Kwara,Ekiti,,,3195,0,56,148,83,57.0536,21.5878,38.494
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ilorin East,North Central,Kwara,Ilorin East,,,2066,0,36,101,58,57.3889,20.4554,35.6207
