session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Bonny,South South,Rivers,Bonny,,,430,0,20,42,32,21.5,10.2381,13.4375
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Eleme,South South,Rivers,Eleme,,,347,0,16,36,28,21.6875,9.6389,12.3929
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,329,0,16,34,27,20.5625,9.6765,12.1852
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Okrika,South South,Rivers,Okrika,,,390,0,16,40,31,24.375,9.75,12.5806
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,377,0,16,38,30,23.5625,9.9211,12.5667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Bonny,South South,Rivers,Bonny,,,334,0,20,34,27,16.7,9.8235,12.3704
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Eleme,South South,Rivers,Eleme,,,269,0,20,29,23,13.45,9.2759,11.6957
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,256,0,16,28,21,16.0,9.1429,12.1905
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Okrika,South South,Rivers,Okrika,,,303,0,16,32,26,18.9375,9.4688,11.6538
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,294,0,16,31,24,18.375,9.4839,12.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Bonny,South South,Rivers,Bonny,,,183,0,20,20,14,9.15,9.15,13.0714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Eleme,South South,Rivers,Eleme,,,147,0,20,19,14,7.35,7.7368,10.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,140,0,16,17,13,8.75,8.2353,10.7692
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Okrika,South South,Rivers,Okrika,,,167,0,16,21,15,10.4375,7.9524,11.1333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,160,0,16,20,14,10.0,8.0,11.4286
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Bonny,South South,Rivers,Bonny,,,1110,0,36,47,36,30.8333,23.617,30.8333
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Eleme,South South,Rivers,Eleme,,,999,0,32,42,32,31.2188,23.7857,31.2188
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,922,0,24,38,30,38.4167,24.2632,30.7333
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Okrika,South South,Rivers,Okrika,,,1093,0,32,44,34,34.1562,24.8409,32.1471
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,1207,0,36,49,36,33.5278,24.6327,33.5278
2019/2020,Female,all,Private,JSS,JSS2,,lga,Bonny,South South,Rivers,Bonny,,,910,0,32,38,29,28.4375,23.9474,31.3793
2019/2020,Female,all,Private,JSS,JSS2,,lga,Eleme,South South,Rivers,Eleme,,,819,0,32,35,27,25.5938,23.4,30.3333
2019/2020,Female,all,Private,JSS,JSS2,,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,752,0,28,33,26,26.8571,22.7879,28.9231
2019/2020,Female,all,Private,JSS,JSS2,,lga,Okrika,South South,Rivers,Okrika,,,897,0,32,38,29,28.0312,23.6053,30.931
2019/2020,Female,all,Private,JSS,JSS2,,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,992,0,36,42,33,27.5556,23.619,30.0606
2019/2020,Female,all,Private,JSS,JSS3,,lga,Bonny,South South,Rivers,Bonny,,,726,0,32,32,25,22.6875,22.6875,29.04
2019/2020,Female,all,Private,JSS,JSS3,,lga,Eleme,South South,Rivers,Eleme,,,657,0,28,29,23,23.4643,22.6552,28.5652
2019/2020,Female,all,Private,JSS,JSS3,,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,602,0,28,27,21,21.5,22.2963,28.6667
2019/2020,Female,all,Private,JSS,JSS3,,lga,Okrika,South South,Rivers,Okrika,,,717,0,32,32,25,22.4062,22.4062,28.68
2019/2020,Female,all,Private,JSS,JSS3,,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,791,0,32,34,27,24.7188,23.2647,29.2963
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Bonny,South South,Rivers,Bonny,,,3661,0,60,167,121,61.0167,21.9222,30.2562
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Eleme,South South,Rivers,Eleme,,,2447,0,40,112,82,61.175,21.8482,29.8415
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Obio/Akpor,South South,Rivers,Obio/Akpor,,,2729,0,44,123,89,62.0227,22.187,30.6629
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Okrika,South South,Rivers,Okrika,,,2843,0,48,131,94,59.2292,21.7023,30.2447
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Port-Harcourt,South South,Rivers,Port-Harcourt,,,3426,0,60,159,114,57.1,21.5472,30.0526
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Bonny,South South,Rivers,Bonny,,,3252,0,60,149,108,54.2,21.8255,30.1111
