session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,294,0,12,30,11,24.5,9.8,26.7273,14.4,28.8,1.72,2.02,6.74,4.45,4.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Donga,North East,Taraba,Donga,,,272,0,12,28,10,22.6667,9.7143,27.2,14.38,26.88,1.71,1.99,6.73,4.44,4.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Jalingo,North East,Taraba,Jalingo,,,276,0,12,29,10,23.0,9.5172,27.6,14.36,27.84,1.7,1.96,6.73,4.44,4.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Sardauna,North East,Taraba,Sardauna,,,306,0,16,29,9,19.125,10.5517,34.0,13.54,26.62,2.11,2.12,8.56,5.62,5.72
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Wukari,North East,Taraba,Wukari,,,302,0,12,30,11,25.1667,10.0667,27.4545,14.37,28.8,1.71,1.97,6.73,4.44,4.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,226,0,12,23,7,18.8333,9.8261,32.2857,14.17,22.08,1.64,1.67,6.68,4.4,4.47
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Donga,North East,Taraba,Donga,,,212,0,12,22,7,17.6667,9.6364,30.2857,14.24,21.12,1.66,1.78,6.7,4.41,4.48
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Jalingo,North East,Taraba,Jalingo,,,214,0,12,23,7,17.8333,9.3043,30.5714,14.23,22.08,1.66,1.77,6.69,4.41,4.48
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Sardauna,North East,Taraba,Sardauna,,,238,0,12,25,9,19.8333,9.52,26.4444,14.42,24,1.72,2.04,6.74,4.45,4.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Wukari,North East,Taraba,Wukari,,,234,0,12,25,8,19.5,9.36,29.25,14.29,24,1.68,1.85,6.71,4.42,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,125,0,12,16,4,10.4167,7.8125,31.25,14.21,15.36,1.65,1.73,6.69,4.41,4.48
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Donga,North East,Taraba,Donga,,,115,0,12,15,3,9.5833,7.6667,38.3333,14,14.4,1.57,1.41,6.63,4.36,4.45
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Jalingo,North East,Taraba,Jalingo,,,117,0,12,16,4,9.75,7.3125,29.25,14.29,15.36,1.68,1.85,6.71,4.42,4.49
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Sardauna,North East,Taraba,Sardauna,,,131,0,12,15,3,10.9167,8.7333,43.6667,13.88,14.4,1.53,1.24,6.6,4.34,4.44
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Wukari,North East,Taraba,Wukari,,,128,0,12,16,4,10.6667,8.0,32.0,14.18,15.36,1.64,1.69,6.68,4.4,4.48
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,923,0,24,38,14,38.4583,24.2895,65.9286,6.78,17.42,5.12,1.64,7.39,4.39,4.53
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Donga,North East,Taraba,Donga,,,749,0,24,31,11,31.2083,24.1613,68.0909,6.49,13.59,5.07,1.59,7.15,4.21,4.35
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Jalingo,North East,Taraba,Jalingo,,,845,0,24,35,12,35.2083,24.1429,70.4167,6.65,15.79,5.08,1.53,7.28,4.31,4.46
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Sardauna,North East,Taraba,Sardauna,,,994,0,32,39,16,31.0625,25.4872,62.125,6.22,16.19,6.76,2.32,9.22,5.39,5.55
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Wukari,North East,Taraba,Wukari,,,954,0,28,37,14,34.0714,25.7838,68.1429,6.23,15.51,5.88,1.85,8.09,4.73,4.89
2019/2020,Female,all,Private,JSS,JSS2,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,755,0,28,32,12,26.9643,23.5938,62.9167,6.49,13.93,5.95,2,8.33,4.91,5.06
2019/2020,Female,all,Private,JSS,JSS2,,lga,Donga,North East,Taraba,Donga,,,615,0,20,28,10,30.75,21.9643,61.5,7.12,13.46,4.32,1.46,6.38,3.82,3.94
2019/2020,Female,all,Private,JSS,JSS2,,lga,Jalingo,North East,Taraba,Jalingo,,,694,0,24,29,11,28.9167,23.931,63.0909,6.49,12.63,5.1,1.71,7.14,4.21,4.34
2019/2020,Female,all,Private,JSS,JSS2,,lga,Sardauna,North East,Taraba,Sardauna,,,814,0,32,33,11,25.4375,24.6667,74.0,6.14,13.71,6.67,1.95,9.16,5.34,5.53
2019/2020,Female,all,Private,JSS,JSS2,,lga,Wukari,North East,Taraba,Wukari,,,784,0,28,32,11,28.0,24.5,71.2727,6.25,13.52,5.87,1.77,8.12,4.75,4.91
2019/2020,Female,all,Private,JSS,JSS3,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,602,0,28,26,8,21.5,23.1538,75.25,6.43,11.37,5.87,1.67,8.3,4.88,5.05
2019/2020,Female,all,Private,JSS,JSS3,,lga,Donga,North East,Taraba,Donga,,,488,0,24,22,6,20.3333,22.1818,81.3333,6.6,9.96,5.03,1.33,7.27,4.3,4.46
2019/2020,Female,all,Private,JSS,JSS3,,lga,Jalingo,North East,Taraba,Jalingo,,,553,0,24,24,8,23.0417,23.0417,69.125,6.49,10.54,5.07,1.56,7.15,4.22,4.36
2019/2020,Female,all,Private,JSS,JSS3,,lga,Sardauna,North East,Taraba,Sardauna,,,650,0,32,27,10,20.3125,24.0741,65.0,6.32,11.44,6.75,2.22,9.33,5.47,5.64
2019/2020,Female,all,Private,JSS,JSS3,,lga,Wukari,North East,Taraba,Wukari,,,630,0,28,26,9,22.5,24.2308,70.0,6.25,10.96,5.87,1.8,8.11,4.75,4.91
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,2611,0,44,110,50,59.3409,23.7364,52.22,7.97,58.86,5.57,3.79,15.27,9.32,9.56
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Donga,North East,Taraba,Donga,,,2025,0,36,89,40,56.25,22.7528,50.625,8.16,48.77,4.62,3.2,12.73,7.8,8
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Jalingo,North East,Taraba,Jalingo,,,2580,0,44,108,48,58.6364,23.8889,53.75,7.87,57.18,5.53,3.68,15.13,9.22,9.47
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Sardauna,North East,Taraba,Sardauna,,,2290,0,40,100,45,57.25,22.9,50.8889,8.16,54.78,5.12,3.54,14.13,8.66,8.88
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Wukari,North East,Taraba,Wukari,,,2769,0,44,115,52,62.9318,24.0783,53.25,8,61.95,5.57,3.72,15.33,9.37,9.61
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,2319,0,44,98,44,52.7045,23.6633,52.7045,7.7,50.54,5.51,3.76,14.86,9.02,9.26
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Donga,North East,Taraba,Donga,,,1797,0,36,79,36,49.9167,22.7468,49.9167,7.89,41.65,4.58,3.25,12.39,7.55,7.74
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Jalingo,North East,Taraba,Jalingo,,,2288,0,48,96,44,47.6667,23.8333,52.0,7.44,47.63,5.96,4.15,15.78,9.53,9.77
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Sardauna,North East,Taraba,Sardauna,,,2035,0,40,90,40,50.875,22.6111,50.875,7.96,48.03,5.08,3.54,13.87,8.47,8.68
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Wukari,North East,Taraba,Wukari,,,2456,0,48,103,46,51.1667,23.8447,53.3913,7.57,52.21,5.97,4.05,16,9.69,9.95
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,2084,0,48,89,40,43.4167,23.4157,52.1,7.37,43.73,5.94,4.15,15.67,9.44,9.69
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Donga,North East,Taraba,Donga,,,1615,0,36,71,30,44.8611,22.7465,53.8333,7.61,36.25,4.48,3.01,12.06,7.31,7.5
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Jalingo,North East,Taraba,Jalingo,,,2056,0,44,86,38,46.7273,23.907,54.1053,7.35,42.28,5.41,3.66,14.35,8.64,8.87
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Sardauna,North East,Taraba,Sardauna,,,1829,0,40,82,37,45.725,22.3049,49.4324,7.85,42.94,5.08,3.64,13.7,8.34,8.55
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Wukari,North East,Taraba,Wukari,,,2210,0,48,92,42,46.0417,24.0217,52.619,7.31,44.82,5.92,4.1,15.57,9.37,9.61
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,1904,0,44,82,36,43.2727,23.2195,52.8889,7.41,40.6,5.44,3.74,14.43,8.71,8.93
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Donga,North East,Taraba,Donga,,,1480,0,36,67,29,41.1111,22.0896,51.0345,7.68,34.38,4.52,3.17,12.13,7.36,7.55
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Jalingo,North East,Taraba,Jalingo,,,1883,0,44,80,36,42.7955,23.5375,52.3056,7.31,38.95,5.43,3.79,14.27,8.59,8.81
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Sardauna,North East,Taraba,Sardauna,,,1674,0,48,75,33,34.875,22.32,50.7273,7.33,36.51,5.95,4.26,15.59,9.38,9.62
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Wukari,North East,Taraba,Wukari,,,2021,0,48,86,38,42.1042,23.5,53.1842,7.28,41.75,5.9,4.06,15.52,9.33,9.58
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,1785,0,48,77,35,37.1875,23.1818,51.0,7.18,36.67,5.91,4.24,15.35,9.2,9.44
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Donga,North East,Taraba,Donga,,,1382,0,36,62,27,38.3889,22.2903,51.1852,7.49,30.96,4.49,3.16,11.9,7.19,7.37
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Jalingo,North East,Taraba,Jalingo,,,1761,0,44,75,34,40.0227,23.48,51.7941,7.21,35.94,5.41,3.82,14.12,8.47,8.69
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Sardauna,North East,Taraba,Sardauna,,,1566,0,44,70,30,35.5909,22.3714,52.2,7.33,34.17,5.43,3.79,14.3,8.61,8.83
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Wukari,North East,Taraba,Wukari,,,1892,0,48,79,35,39.4167,23.9494,54.0571,7.03,36.97,5.83,4,15.12,9.03,9.28
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,1612,0,44,69,30,36.6364,23.3623,53.7333,7.07,32.48,5.36,3.68,13.92,8.33,8.55
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Donga,North East,Taraba,Donga,,,1251,0,36,58,25,34.75,21.569,50.04,7.56,29.19,4.51,3.24,11.98,7.25,7.43
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Jalingo,North East,Taraba,Jalingo,,,1592,0,44,68,29,36.1818,23.4118,54.8966,7.02,31.84,5.33,3.61,13.85,8.28,8.5
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Sardauna,North East,Taraba,Sardauna,,,1417,0,44,65,29,32.2045,21.8,48.8621,7.39,31.8,5.5,4.05,14.37,8.66,8.87
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Wukari,North East,Taraba,Wukari,,,1710,0,48,74,32,35.625,23.1081,53.4375,7.1,34.98,5.85,4.04,15.23,9.12,9.36
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,761,3,28,35,14,27.1786,21.7429,54.3571,7.1,16.56,7.89,2.32,8.88,5.32,5.46
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Donga,North East,Taraba,Donga,,,722,3,28,34,12,25.7857,21.2353,60.1667,7.12,16.31,7.84,2.09,8.93,5.35,5.51
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Jalingo,North East,Taraba,Jalingo,,,748,3,28,34,12,26.7143,22.0,62.3333,6.92,15.85,7.8,2.02,8.74,5.21,5.37
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Sardauna,North East,Taraba,Sardauna,,,811,3,32,37,14,25.3438,21.9189,57.9286,6.92,17.13,8.95,2.49,9.97,5.94,6.11
2019/2020,Female,all,Private,SSS,SSS1,SSS1,lga,Wukari,North East,Taraba,Wukari,,,802,3,32,38,16,25.0625,21.1053,50.125,7.25,18.24,9.08,2.87,10.3,6.18,6.34
2019/2020,Female,all,Private,SSS,SSS2,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,618,3,28,30,10,22.0714,20.6,61.8,7.13,14.44,7.83,2.04,8.94,5.36,5.52
2019/2020,Female,all,Private,SSS,SSS2,,lga,Donga,North East,Taraba,Donga,,,579,3,28,30,10,20.6786,19.3,57.9,7.54,15.25,7.92,2.18,9.32,5.64,5.8
2019/2020,Female,all,Private,SSS,SSS2,,lga,Jalingo,North East,Taraba,Jalingo,,,602,3,28,30,10,21.5,20.0667,60.2,7.29,14.76,7.87,2.09,9.09,5.47,5.63
2019/2020,Female,all,Private,SSS,SSS2,,lga,Sardauna,North East,Taraba,Sardauna,,,656,3,32,31,10,20.5,21.1613,65.6,6.95,14.6,8.9,2.2,10.04,5.99,6.18
2019/2020,Female,all,Private,SSS,SSS2,,lga,Wukari,North East,Taraba,Wukari,,,647,3,32,32,10,20.2188,20.2188,64.7,7.21,15.65,8.95,2.23,10.32,6.2,6.39
2019/2020,Female,all,Private,SSS,SSS3,,lga,Ardo-Kola,North East,Taraba,Ardo-Kola,,,476,3,28,25,8,17.0,19.04,59.5,7.6,12.86,7.92,2.12,9.39,5.69,5.86
2019/2020,Female,all,Private,SSS,SSS3,,lga,Donga,North East,Taraba,Donga,,,453,2,32,24,8,14.1562,18.875,56.625,7.68,12.43,9.08,2.54,10.81,6.56,6.75
