session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,276,0,12,36,12,23.0,7.6667,23.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,385,0,16,47,16,24.0625,8.1915,24.0625
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,357,0,16,43,14,22.3125,8.3023,25.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,303,0,12,40,14,25.25,7.575,21.6429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,315,0,16,40,14,19.6875,7.875,22.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,213,0,12,30,10,17.75,7.1,21.3
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,300,0,16,39,13,18.75,7.6923,23.0769
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,277,0,12,36,12,23.0833,7.6944,23.0833
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,236,0,16,32,11,14.75,7.375,21.4545
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,244,0,16,32,10,15.25,7.625,24.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,117,0,12,19,5,9.75,6.1579,23.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,164,0,16,23,7,10.25,7.1304,23.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,152,0,16,21,6,9.5,7.2381,25.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,128,0,16,19,5,8.0,6.7368,25.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,135,0,16,21,6,8.4375,6.4286,22.5
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,811,0,20,42,15,40.55,19.3095,54.0667
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,1146,0,32,59,21,35.8125,19.4237,54.5714
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,1111,0,28,57,19,39.6786,19.4912,58.4737
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,1028,0,24,52,18,42.8333,19.7692,57.1111
2019/2020,Female,all,Private,JSS,JSS1,JSS1,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,1008,0,28,53,18,36.0,19.0189,56.0
2019/2020,Female,all,Private,JSS,JSS2,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,668,0,20,35,10,33.4,19.0857,66.8
2019/2020,Female,all,Private,JSS,JSS2,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,941,0,32,50,18,29.4062,18.82,52.2778
2019/2020,Female,all,Private,JSS,JSS2,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,911,0,32,47,16,28.4688,19.383,56.9375
2019/2020,Female,all,Private,JSS,JSS2,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,842,0,28,44,15,30.0714,19.1364,56.1333
2019/2020,Female,all,Private,JSS,JSS2,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,823,0,28,45,16,29.3929,18.2889,51.4375
2019/2020,Female,all,Private,JSS,JSS3,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,534,0,20,30,10,26.7,17.8,53.4
2019/2020,Female,all,Private,JSS,JSS3,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,754,0,36,40,12,20.9444,18.85,62.8333
2019/2020,Female,all,Private,JSS,JSS3,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,729,0,32,39,12,22.7812,18.6923,60.75
2019/2020,Female,all,Private,JSS,JSS3,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,672,0,28,35,12,24.0,19.2,56.0
2019/2020,Female,all,Private,JSS,JSS3,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,661,0,28,37,12,23.6071,17.8649,55.0833
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,3160,0,52,180,66,60.7692,17.5556,47.8788
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3671,0,60,206,74,61.1833,17.8204,49.6081
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,2714,0,44,155,55,61.6818,17.5097,49.3455
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,2787,0,48,155,55,58.0625,17.9806,50.6727
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,3085,0,52,172,62,59.3269,17.936,49.7581
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2809,0,52,160,58,54.0192,17.5562,48.431
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,3257,0,64,185,67,50.8906,17.6054,48.6119
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,2412,0,44,139,50,54.8182,17.3525,48.24
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,2478,0,44,139,49,56.3182,17.8273,50.5714
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 2,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,2740,0,52,154,55,52.6923,17.7922,49.8182
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2525,0,48,145,53,52.6042,17.4138,47.6415
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,2931,0,60,167,61,48.85,17.5509,48.0492
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,2166,0,48,125,46,45.125,17.328,47.087
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,2227,0,44,127,48,50.6136,17.5354,46.3958
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 3,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,2464,0,52,140,51,47.3846,17.6,48.3137
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2307,0,52,133,46,44.3654,17.3459,50.1522
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,2678,0,64,152,54,41.8438,17.6184,49.5926
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,1982,0,44,114,41,45.0455,17.386,48.3415
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,2036,0,44,115,42,46.2727,17.7043,48.4762
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 4,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,2249,0,52,128,46,43.25,17.5703,48.8913
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,2161,0,56,124,45,38.5893,17.4274,48.0222
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,2509,0,60,143,52,41.8167,17.5455,48.25
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,1853,0,48,108,39,38.6042,17.1574,47.5128
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,1906,0,44,108,37,43.3182,17.6481,51.5135
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 5,,lga,Municipal Area Council,North Central,Abuja Federal Capital Territory,Municipal Area Council,,,2106,0,52,120,44,40.5,17.55,47.8636
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,1953,0,48,113,41,40.6875,17.2832,47.6341
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,2267,0,60,131,48,37.7833,17.3053,47.2292
2019/2020,Female,all,Private,Pre-Primary/Primary,Primary 6,,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,1677,0,40,98,35,41.925,17.1122,47.9143
