session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2019/2020,Female,all,NABTEB,1-year,College of Education,zone,North Central,North Central,,,,,0,5357,3492,1290,1114,204,0,1865,2202,204,1.0
2019/2020,Female,all,NABTEB,1-year,College of Education,zone,North East,North East,,,,,0,4675,2923,1169,1083,136,0,1752,1754,136,1.0
2019/2020,Female,all,NABTEB,1-year,College of Education,zone,North West,North West,,,,,0,6263,4132,1573,1512,148,0,2131,2559,148,1.0
2019/2020,Female,all,NABTEB,1-year,College of Education,zone,South East,South East,,,,,0,3690,2358,799,688,132,0,1332,1559,132,1.0
2019/2020,Female,all,NABTEB,1-year,College of Education,zone,South South,South South,,,,,0,4415,2938,1024,938,132,0,1477,1914,131,1.0
2019/2020,Female,all,NABTEB,1-year,College of Education,zone,South West,South West,,,,,0,5001,3304,1173,1096,148,0,1697,2131,148,1.0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,zone,North Central,North Central,,,,,0,5187,3374,1233,1084,183,0,1813,2141,183,1.0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,zone,North East,North East,,,,,0,4201,2677,1082,986,139,0,1524,1595,139,1.0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,zone,North West,North West,,,,,0,4796,3125,1150,1018,170,0,1671,1975,170,1.0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,zone,South East,South East,,,,,0,3663,2323,811,730,102,0,1340,1512,102,1.0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,zone,South South,South South,,,,,0,4374,2873,1009,913,144,0,1501,1864,143,1.0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,zone,South West,South West,,,,,0,4781,3253,1148,1040,161,0,1528,2105,161,1.0
2019/2020,Female,all,NABTEB,1-year,University,zone,North Central,North Central,,,,,0,5248,3402,1173,1091,123,0,1846,2229,123,1.0
2019/2020,Female,all,NABTEB,1-year,University,zone,North East,North East,,,,,0,3897,2484,1023,1024,44,0,1413,1461,43,1.0
2019/2020,Female,all,NABTEB,1-year,University,zone,North West,North West,,,,,0,6479,4176,1533,1472,142,0,2303,2643,142,1.0
2019/2020,Female,all,NABTEB,1-year,University,zone,South East,South East,,,,,0,3925,2495,845,742,125,0,1430,1650,125,1.0
2019/2020,Female,all,NABTEB,1-year,University,zone,South South,South South,,,,,0,3977,2539,881,790,131,0,1438,1658,131,1.0
2019/2020,Female,all,NABTEB,1-year,University,zone,South West,South West,,,,,0,4927,3239,1138,1032,165,0,1688,2101,165,1.0
