session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kusugu,North West,Katsina,Daura,Kusugu,,0,44,62,23,21,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Madobi A,North West,Katsina,Daura,Madobi A,,0,33,44,23,14,12,0,0,15,4
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Madobi B,North West,Katsina,Daura,Madobi B,,0,40,55,23,21,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bagagadi,North West,Katsina,Dutsinma,Bagagadi,,0,35,48,14,11,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dabawa,North West,Katsina,Dutsinma,Dabawa,,0,27,37,14,11,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dutsin-Ma A,North West,Katsina,Dutsinma,Dutsin-Ma A,,0,44,58,30,23,12,0,0,20,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,0,44,62,30,28,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dukke,North West,Katsina,Funtua,Dukke,,0,44,55,14,11,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Goya,North West,Katsina,Funtua,Goya,,0,53,71,30,23,12,0,0,27,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,0,44,58,23,21,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,0,21,30,16,14,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,0,30,41,16,14,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Doguru 'A',North West,Katsina,Mashi,Doguru 'A',,0,18,25,9,7,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Doguru 'B',North West,Katsina,Mashi,Doguru 'B',,0,27,37,16,14,0,0,0,14,1
