session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,0,8,12,15,8,4,0,0,0,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,0,30,41,35,33,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,0,13,17,15,13,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,0,23,31,35,33,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,0,43,56,65,58,4,0,0,3,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,0,15,23,23,20,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,0,22,27,23,20,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,0,17,23,23,20,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,0,15,21,15,13,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,0,8,12,8,5,0,0,0,3,1
