session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,0,25,37,9,9,0,0,0,50,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Elega,South West,Ogun,Abeokuta North,Elega,,0,29,40,7,6,0,0,0,58,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ago-Egun/Ijesa,South West,Ogun,Abeokuta South,Ago-Egun/Ijesa,,0,52,69,15,13,2,0,0,96,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ake I,South West,Ogun,Abeokuta South,Ake I,,0,29,38,9,9,0,0,0,51,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ake II,South West,Ogun,Abeokuta South,Ake II,,0,24,32,8,5,2,0,0,43,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ijade/Imepe I,South West,Ogun,Ijebu Ode,Ijade/Imepe I,,0,46,60,12,11,2,0,0,84,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ijade/Imepe II,South West,Ogun,Ijebu Ode,Ijade/Imepe II,,0,15,21,5,2,2,0,0,28,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ijasi/Idepo,South West,Ogun,Ijebu Ode,Ijasi/Idepo,,0,20,25,2,2,0,0,0,39,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Akaka,South West,Ogun,Remo North,Akaka,,0,42,60,12,10,2,0,0,83,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ayegbami,South West,Ogun,Remo North,Ayegbami,,0,21,31,5,4,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Igan/Ajina,South West,Ogun,Remo North,Igan/Ajina,,0,55,73,17,16,2,0,0,98,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abalabi,South West,Ogun,Sagamu,Abalabi,,0,36,46,9,9,0,0,0,64,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abigi,South West,Ogun,Sagamu,Abigi,,0,44,63,15,13,2,0,0,86,3
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,0,43,60,27,27,0,0,0,64,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Elega,South West,Ogun,Abeokuta North,Elega,,0,51,69,33,28,4,0,0,72,6
