session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,0,19,26,4,2,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ewu II,South South,Edo,Esan Central,Ewu II,,0,23,33,4,2,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ikekato,South South,Edo,Esan Central,Ikekato,,0,20,29,4,2,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Anwain,South South,Edo,Etsako West,Anwain,,0,12,18,2,0,0,0,0,12,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Auchi I,South South,Edo,Etsako West,Auchi I,,0,23,30,4,2,0,0,0,20,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gra/Etete,South South,Edo,Oredo,Gra/Etete,,0,47,64,9,7,0,0,0,42,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ibiwe/ Iwegie/ Ugbague,South South,Edo,Oredo,Ibiwe/ Iwegie/ Ugbague,,0,37,50,4,2,0,0,0,35,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road,South South,Edo,Oredo,Ihogbe/ Isekhere/ Oreoghene/ Ibiwe/ Ice Road,,0,21,29,4,2,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Emai I,South South,Edo,Owan East,Emai I,,0,54,72,7,5,0,0,0,49,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Emai II,South South,Edo,Owan East,Emai II,,0,20,26,4,2,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Igue/Ikao,South South,Edo,Owan East,Igue/Ikao,,0,27,33,5,4,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ewu I,South South,Edo,Esan Central,Ewu I,,0,20,26,18,16,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ikekato,South South,Edo,Esan Central,Ikekato,,0,11,15,11,7,3,0,0,5,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Anwain,South South,Edo,Etsako West,Anwain,,0,27,35,28,23,3,0,0,10,3
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Auchi,South South,Edo,Etsako West,Auchi,,0,23,33,16,14,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ibiwe/ Iwegie/ Ugbague,South South,Edo,Oredo,Ibiwe/ Iwegie/ Ugbague,,0,27,40,28,27,0,0,0,13,1
