session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Brass I,South South,Bayelsa,Brass,Brass I,,0,12,17,0,0,0,0,0,30,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Brass ward II,South South,Bayelsa,Brass,Brass ward II,,0,25,34,0,0,0,0,0,60,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,0,9,13,0,0,0,0,0,24,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,0,12,16,0,0,0,0,0,29,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,0,12,15,0,0,0,0,0,26,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,0,18,25,0,0,0,0,0,44,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bassambiri I,South South,Bayelsa,Nembe,Bassambiri I,,0,15,19,0,0,0,0,0,34,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bassambiri II,South South,Bayelsa,Nembe,Bassambiri II,,0,20,26,0,0,0,0,0,46,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bassambiri III,South South,Bayelsa,Nembe,Bassambiri III,,0,8,12,0,0,0,0,0,22,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Anyama,South South,Bayelsa,Ogbia,Anyama,,0,6,8,0,0,0,0,0,14,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Emeyal,South South,Bayelsa,Ogbia,Emeyal,,0,11,16,0,0,0,0,0,28,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Attissa I,South South,Bayelsa,Yenagoa,Attissa I,,0,22,28,0,0,0,0,0,50,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Attissa II,South South,Bayelsa,Yenagoa,Attissa II,,0,15,19,0,0,0,0,0,34,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Attissa III,South South,Bayelsa,Yenagoa,Attissa III,,0,14,19,0,0,0,0,0,34,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Brass I,South South,Bayelsa,Brass,Brass I,,0,6,8,1,0,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,0,18,25,1,0,0,0,0,43,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,0,12,17,1,0,0,0,0,29,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,0,15,19,1,0,0,0,0,33,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,0,8,11,1,0,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bassambiri I,South South,Bayelsa,Nembe,Bassambiri I,,0,17,22,1,1,0,0,0,38,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bassambiri II,South South,Bayelsa,Nembe,Bassambiri II,,0,6,8,1,0,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bassambiri III,South South,Bayelsa,Nembe,Bassambiri III,,0,21,26,1,0,0,0,0,45,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Anyama,South South,Bayelsa,Ogbia,Anyama,,0,6,9,1,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Emeyal,South South,Bayelsa,Ogbia,Emeyal,,0,5,7,0,0,0,0,0,12,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Imiringi,South South,Bayelsa,Ogbia,Imiringi,,0,18,22,1,1,0,0,0,38,1
