session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,ALL,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,93,67,28,26,2,0,26,39,2,2.1,1 year
2022/2023,Female,ALL,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,40,29,12,11,1,0,11,17,1,2.1,2 years
2022/2023,Female,ALL,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,21,15,6,6,1,0,6,9,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,6,5,2,2,0,0,1,3,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,42,31,13,12,1,0,11,18,1,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,18,13,6,5,0,0,5,7,1,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,10,7,3,3,0,0,3,4,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,34,25,10,9,1,0,9,15,1,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,15,11,4,4,0,0,4,7,0,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,8,5,2,2,0,0,3,3,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,44,32,13,12,1,0,12,19,1,2.1,1 year
2022/2023,Female,ALL,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,19,14,6,5,0,0,5,8,1,2.1,2 years
2022/2023,Female,ALL,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,10,7,3,3,0,0,3,4,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,20,14,6,6,1,0,6,8,0,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,9,6,3,2,0,0,3,3,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,4,3,1,1,0,0,1,2,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,16,11,5,4,0,0,5,6,1,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,7,5,2,2,0,0,2,3,0,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,4,3,1,1,0,0,1,2,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,14,10,4,4,0,0,4,6,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,6,4,2,2,0,0,2,2,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,6,4,2,2,0,0,2,2,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,5,4,1,1,0,0,1,3,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,2,2,1,1,0,0,0,1,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,6,4,2,2,0,0,2,2,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,0,0,0,0,0,1,0,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,2,2,1,1,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,3,2,1,1,0,0,1,1,0,2.1,1 year
2022/2023,Female,Disabled,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,2 years
2022/2023,Female,Disabled,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,0,0,0,0,0,1,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,0,0,0,0,0,1,0,0,2.1,2 years
2022/2023,Female,Disabled,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
2022/2023,Female,Disabled,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,2 years
2022/2023,Female,Disabled,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,3-5 years
2022/2023,Female,Disabled,NECO,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,0,0,0,0,0,0,0,0,0,2.1,5+ years
2022/2023,Female,Disabled,NABTEB,University,ward,City Centre,North Central,Abuja Federal Capital Territory,Municipal Area Council,City Centre,,0,1,1,0,0,0,0,0,1,0,2.1,1 year
