session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bambam,North East,Gombe,Balanga,Bambam,,0,16,22,12,10,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bangu,North East,Gombe,Balanga,Bangu,,0,11,14,8,7,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dadiya,North East,Gombe,Balanga,Dadiya,,0,18,26,16,15,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ajiya,North East,Gombe,Gombe,Ajiya,,0,12,14,8,7,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bolari East,North East,Gombe,Gombe,Bolari East,,0,7,10,8,5,4,0,0,4,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Awak,North East,Gombe,Kaltungo,Awak,,0,17,24,22,13,9,0,0,8,8
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kaltungo East,North East,Gombe,Kaltungo,Kaltungo East,,0,7,8,3,2,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Barwo / Nasarawo,North East,Gombe,Nafada,Barwo / Nasarawo,,0,9,13,8,5,4,0,0,8,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Barwo Winde,North East,Gombe,Nafada,Barwo Winde,,0,29,36,29,22,9,0,0,15,6
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Birin Bolewa,North East,Gombe,Nafada,Birin Bolewa,,0,16,22,16,15,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Deba,North East,Gombe,Yamaltu/Deba,Deba,,0,20,30,17,16,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Difa / Lubo / Kinafa,North East,Gombe,Yamaltu/Deba,Difa / Lubo / Kinafa,,0,22,31,26,19,9,0,0,12,6
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gwani / Shinga / Wade,North East,Gombe,Yamaltu/Deba,Gwani / Shinga / Wade,,0,30,40,24,23,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bambam,North East,Gombe,Balanga,Bambam,,0,7,10,1,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dadiya,North East,Gombe,Balanga,Dadiya,,0,10,13,1,0,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ajiya,North East,Gombe,Gombe,Ajiya,,0,27,35,2,1,0,0,0,37,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bajoga,North East,Gombe,Gombe,Bajoga,,0,32,43,6,5,0,0,0,43,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bolari East,North East,Gombe,Gombe,Bolari East,,0,21,27,2,1,0,0,0,28,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bule / Kaltin,North East,Gombe,Kaltungo,Bule / Kaltin,,0,8,11,1,0,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Kaltungo East,North East,Gombe,Kaltungo,Kaltungo East,,0,10,13,1,0,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Barwo / Nasarawo,North East,Gombe,Nafada,Barwo / Nasarawo,,0,30,40,5,3,0,0,0,40,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Birin Bolewa,North East,Gombe,Nafada,Birin Bolewa,,0,20,29,3,2,0,0,0,29,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Deba,North East,Gombe,Yamaltu/Deba,Deba,,0,12,17,2,1,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Difa / Lubo / Kinafa,North East,Gombe,Yamaltu/Deba,Difa / Lubo / Kinafa,,0,6,8,1,0,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bambam,North East,Gombe,Balanga,Bambam,,0,5,8,20,19,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bangu,North East,Gombe,Balanga,Bangu,,0,17,20,29,28,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Dadiya,North East,Gombe,Balanga,Dadiya,,0,11,14,20,19,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bajoga,North East,Gombe,Gombe,Bajoga,,0,11,12,20,13,9,0,1,0,6
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Awak,North East,Gombe,Kaltungo,Awak,,0,20,27,51,44,9,0,0,0,6
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bule / Kaltin,North East,Gombe,Kaltungo,Bule / Kaltin,,0,20,26,51,35,18,0,0,0,14
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Kaltungo East,North East,Gombe,Kaltungo,Kaltungo East,,0,20,27,31,30,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Difa / Lubo / Kinafa,North East,Gombe,Yamaltu/Deba,Difa / Lubo / Kinafa,,0,12,16,20,19,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gwani / Shinga / Wade,North East,Gombe,Yamaltu/Deba,Gwani / Shinga / Wade,,0,8,10,9,8,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Bambam,North East,Gombe,Balanga,Bambam,,0,11,14,12,8,4,0,0,6,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Bangu,North East,Gombe,Balanga,Bangu,,0,8,11,8,7,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Dadiya,North East,Gombe,Balanga,Dadiya,,0,12,16,12,8,4,0,0,8,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ajiya,North East,Gombe,Gombe,Ajiya,,0,7,10,8,3,4,0,0,4,4
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Bolari East,North East,Gombe,Gombe,Bolari East,,0,5,5,3,2,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Awak,North East,Gombe,Kaltungo,Awak,,0,10,14,12,8,4,0,0,6,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Kaltungo East,North East,Gombe,Kaltungo,Kaltungo East,,0,5,5,3,2,0,0,0,3,1
