session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Adakawa,North West,Kano,Dala,Adakawa,,0,95,129,20,19,0,0,0,172,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bakin Ruwa,North West,Kano,Dala,Bakin Ruwa,,0,174,231,39,39,0,0,0,304,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dala,North West,Kano,Dala,Dala,,0,32,40,7,6,0,0,0,53,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Fagge A,North West,Kano,Fagge,Fagge A,,0,45,63,6,5,0,0,0,89,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Fagge B,North West,Kano,Fagge,Fagge B,,0,30,48,7,6,0,0,0,65,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Fagge C,North West,Kano,Fagge,Fagge C,,0,62,79,7,6,0,0,0,112,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dandago,North West,Kano,Gwale,Dandago,,0,69,96,20,14,23,0,0,123,7
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dorayi,North West,Kano,Gwale,Dorayi,,0,60,89,20,20,0,0,0,110,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Chedi,North West,Kano,Kano Municipal,Chedi,,0,85,104,13,12,0,0,0,142,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dan'agundi,North West,Kano,Kano Municipal,Dan'agundi,,0,98,135,20,14,23,0,0,181,7
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gandun Albasa,North West,Kano,Kano Municipal,Gandun Albasa,,0,53,79,13,12,0,0,0,105,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dakata,North West,Kano,Nasarawa,Dakata,,0,40,48,7,6,0,0,0,65,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gama,North West,Kano,Nasarawa,Gama,,0,117,152,20,20,0,0,0,206,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gawuna,North West,Kano,Nasarawa,Gawuna,,0,58,71,13,12,0,0,0,93,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dala,North West,Kano,Dala,Dala,,0,53,63,3,3,0,0,0,92,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Fagge A,North West,Kano,Fagge,Fagge A,,0,26,40,3,3,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Fagge B,North West,Kano,Fagge,Fagge B,,0,89,120,9,8,0,0,0,171,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Fagge C,North West,Kano,Fagge,Fagge C,,0,62,79,3,3,0,0,0,116,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dandago,North West,Kano,Gwale,Dandago,,0,49,63,3,3,0,0,0,92,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Diso,North West,Kano,Gwale,Diso,,0,102,143,20,17,11,0,0,193,3
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dorayi,North West,Kano,Gwale,Dorayi,,0,105,150,16,15,0,0,0,208,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Chedi,North West,Kano,Kano Municipal,Chedi,,0,45,56,3,3,0,0,0,81,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dan'agundi,North West,Kano,Kano Municipal,Dan'agundi,,0,78,104,12,11,0,0,0,143,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dakata,North West,Kano,Nasarawa,Dakata,,0,98,127,12,8,11,0,0,178,5
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gawuna,North West,Kano,Nasarawa,Gawuna,,0,98,135,12,9,11,0,0,190,4
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Adakawa,North West,Kano,Dala,Adakawa,,0,137,173,49,38,45,0,0,205,13
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bakin Ruwa,North West,Kano,Dala,Bakin Ruwa,,0,32,48,11,10,0,0,0,60,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Dala,North West,Kano,Dala,Dala,,0,98,135,36,35,0,0,0,162,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Fagge A,North West,Kano,Fagge,Fagge A,,0,121,168,60,39,79,0,0,184,24
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Fagge B,North West,Kano,Fagge,Fagge B,,0,43,56,24,14,34,0,0,57,12
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Fagge C,North West,Kano,Fagge,Fagge C,,0,82,120,47,38,34,0,0,126,11
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Dandago,North West,Kano,Gwale,Dandago,,0,121,160,60,38,79,0,0,172,26
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Diso,North West,Kano,Gwale,Diso,,0,72,89,24,23,0,0,0,106,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Chedi,North West,Kano,Kano Municipal,Chedi,,0,72,104,36,26,34,0,0,115,12
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gandun Albasa,North West,Kano,Kano Municipal,Gandun Albasa,,0,161,198,47,46,0,0,0,245,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Dakata,North West,Kano,Nasarawa,Dakata,,0,43,56,24,23,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gama,North West,Kano,Nasarawa,Gama,,0,62,87,24,23,0,0,0,103,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gawuna,North West,Kano,Nasarawa,Gawuna,,0,32,40,11,10,0,0,0,48,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Adakawa,North West,Kano,Dala,Adakawa,,0,60,87,20,14,23,0,0,108,7
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Bakin Ruwa,North West,Kano,Dala,Bakin Ruwa,,0,111,152,26,21,23,0,0,200,6
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Dala,North West,Kano,Dala,Dala,,0,23,25,7,6,0,0,2,30,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Fagge A,North West,Kano,Fagge,Fagge A,,0,32,40,6,5,0,0,0,54,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Fagge B,North West,Kano,Fagge,Fagge B,,0,19,23,7,6,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Fagge C,North West,Kano,Fagge,Fagge C,,0,43,48,7,6,0,0,3,65,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Dandago,North West,Kano,Gwale,Dandago,,0,45,63,13,7,23,0,0,81,7
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Dorayi,North West,Kano,Gwale,Dorayi,,0,36,58,14,13,0,0,0,71,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Chedi,North West,Kano,Kano Municipal,Chedi,,0,53,73,13,12,0,0,0,96,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Dan'agundi,North West,Kano,Kano Municipal,Dan'agundi,,0,66,96,12,11,0,0,0,132,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Gandun Albasa,North West,Kano,Kano Municipal,Gandun Albasa,,0,32,48,6,5,0,0,0,66,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Dakata,North West,Kano,Nasarawa,Dakata,,0,23,33,6,5,0,0,0,43,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Gama,North West,Kano,Nasarawa,Gama,,0,74,104,20,19,0,0,0,134,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Gawuna,North West,Kano,Nasarawa,Gawuna,,0,36,48,6,5,0,0,0,66,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Dala,North West,Kano,Dala,Dala,,0,32,40,3,3,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Fagge A,North West,Kano,Fagge,Fagge A,,0,16,25,3,3,0,0,0,34,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Fagge B,North West,Kano,Fagge,Fagge B,,0,53,65,9,8,0,0,0,89,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Fagge C,North West,Kano,Fagge,Fagge C,,0,32,40,3,3,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Dandago,North West,Kano,Gwale,Dandago,,0,30,40,3,3,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Diso,North West,Kano,Gwale,Diso,,0,69,89,12,9,11,0,0,120,4
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Dorayi,North West,Kano,Gwale,Dorayi,,0,66,89,9,8,0,0,0,124,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Chedi,North West,Kano,Kano Municipal,Chedi,,0,30,40,3,3,0,0,0,57,1
