session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,ALL,WAEC,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,208,151,63,58,5,0,57,88,5,2.1,1 year
2022/2023,Female,ALL,WAEC,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,90,65,27,25,2,0,25,38,2,2.1,2 years
2022/2023,Female,ALL,WAEC,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,47,34,14,13,1,0,13,20,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,14,10,4,4,0,0,4,6,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,95,68,29,26,2,0,27,39,3,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,41,29,12,11,1,0,12,17,1,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,21,15,6,6,1,0,6,9,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,76,55,23,21,2,0,21,32,2,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,33,24,10,9,1,0,9,14,1,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,17,12,5,5,0,0,5,7,0,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,5,4,2,1,0,0,1,2,1,2.1,5+ years
2022/2023,Female,ALL,NECO,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,97,70,30,27,2,0,27,40,3,2.1,1 year
2022/2023,Female,ALL,NECO,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,42,30,13,12,1,0,12,17,1,2.1,2 years
2022/2023,Female,ALL,NECO,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,22,16,7,6,1,0,6,9,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,7,5,2,2,0,0,2,3,0,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,44,32,13,12,1,0,12,19,1,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,19,14,6,5,0,0,5,8,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,10,7,3,3,0,0,3,4,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,3,2,1,1,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,35,26,11,10,1,0,9,15,1,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,15,11,5,4,0,0,4,6,1,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,8,6,2,2,0,0,2,4,0,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,0,2,2,1,1,0,0,0,1,0,2.1,5+ years
