session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,0,36,49,19,17,3,0,0,59,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ado 'B' Inisa,South West,Ekiti,Ado Ekiti,Ado 'B' Inisa,,0,29,38,12,11,3,0,0,49,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ado 'C' Idolofin,South West,Ekiti,Ado Ekiti,Ado 'C' Idolofin,,0,29,40,14,14,0,0,0,50,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Efon I,South West,Ekiti,Efon,Efon I,,0,26,35,14,13,3,0,0,41,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Efon III,South West,Ekiti,Efon,Efon III,,0,13,16,7,5,3,0,0,19,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,0,30,38,14,13,3,0,0,46,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,19,26,8,8,0,0,0,33,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,25,32,11,10,0,0,0,41,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,24,35,12,11,0,0,0,44,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,0,18,23,8,7,3,0,0,28,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,24,34,11,8,3,0,0,44,3
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ado 'B' Inisa,South West,Ekiti,Ado Ekiti,Ado 'B' Inisa,,0,13,22,29,24,5,0,0,0,7
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Efon II,South West,Ekiti,Efon,Efon II,,0,13,18,23,22,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,8,11,14,6,8,0,0,0,11
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,10,13,14,14,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,13,16,23,15,8,0,0,0,10
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,0,16,21,23,22,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,7,9,6,5,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,0,12,16,23,22,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,0,15,20,12,11,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,0,20,27,29,28,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,0,7,9,7,4,3,0,0,7,4
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ado 'C' Idolofin,South West,Ekiti,Ado Ekiti,Ado 'C' Idolofin,,0,17,23,13,11,3,0,0,22,3
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Efon I,South West,Ekiti,Efon,Efon I,,0,12,16,11,10,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Efon II,South West,Ekiti,Efon,Efon II,,0,36,52,27,25,3,0,0,52,3
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Efon III,South West,Ekiti,Efon,Efon III,,0,39,52,27,21,5,0,0,52,8
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,0,12,16,11,7,3,0,0,14,5
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,11,12,7,6,0,0,1,12,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,7,8,7,6,0,0,1,4,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,8,9,7,4,3,0,0,7,4
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,6,8,4,3,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,0,25,32,12,11,0,0,0,39,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,0,18,24,13,11,3,0,0,24,3
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,0,19,26,13,12,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,0,24,30,11,10,0,0,0,38,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ado 'B' Inisa,South West,Ekiti,Ado Ekiti,Ado 'B' Inisa,,0,19,24,8,7,0,0,0,31,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ado 'C' Idolofin,South West,Ekiti,Ado Ekiti,Ado 'C' Idolofin,,0,20,26,10,9,0,0,0,31,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Efon I,South West,Ekiti,Efon,Efon I,,0,17,23,8,8,0,0,0,28,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Efon III,South West,Ekiti,Efon,Efon III,,0,9,11,4,3,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,0,19,25,9,8,3,0,0,30,2
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,12,18,6,5,3,0,0,23,2
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,16,22,6,5,0,0,0,29,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,16,23,9,7,3,0,0,27,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,0,11,13,5,4,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,16,22,8,5,3,0,0,26,5
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ado 'B' Inisa,South West,Ekiti,Ado Ekiti,Ado 'B' Inisa,,0,9,12,14,14,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Efon II,South West,Ekiti,Efon,Efon II,,0,8,11,14,14,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,6,6,6,5,0,0,1,2,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,7,9,14,8,5,0,0,0,8
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,8,11,14,8,5,0,0,0,8
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,0,9,13,17,16,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,4,4,6,5,0,0,1,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,0,8,11,14,14,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,0,9,12,12,11,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,0,12,15,14,14,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,0,5,8,4,3,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ado 'C' Idolofin,South West,Ekiti,Ado Ekiti,Ado 'C' Idolofin,,0,10,13,7,6,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Efon I,South West,Ekiti,Efon,Efon I,,0,7,9,7,6,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Efon II,South West,Ekiti,Efon,Efon II,,0,23,32,17,16,0,0,0,33,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Efon III,South West,Ekiti,Efon,Efon III,,0,25,30,17,14,3,0,0,29,3
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,0,7,9,3,2,0,0,0,12,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,6,8,4,3,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,4,6,3,2,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,6,8,4,3,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,3,4,4,3,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,0,17,19,12,11,0,0,1,17,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,0,12,16,9,8,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,0,13,16,7,6,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ado 'A' Idofin,South West,Ekiti,Ado Ekiti,Ado 'A' Idofin,,0,14,19,7,6,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ado 'B' Inisa,South West,Ekiti,Ado Ekiti,Ado 'B' Inisa,,0,11,15,5,5,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ado 'C' Idolofin,South West,Ekiti,Ado Ekiti,Ado 'C' Idolofin,,0,13,18,5,5,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Efon I,South West,Ekiti,Efon,Efon I,,0,11,13,6,5,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Efon III,South West,Ekiti,Efon,Efon III,,0,6,8,2,2,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,0,13,15,7,6,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,0,8,11,4,3,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,0,11,13,4,3,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,0,9,13,5,4,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,0,6,8,5,4,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,0,11,13,4,3,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,ward,Ado 'B' Inisa,South West,Ekiti,Ado Ekiti,Ado 'B' Inisa,,0,6,8,8,8,0,0,0,2,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,ward,Efon II,South West,Ekiti,Efon,Efon II,,0,5,6,8,8,0,0,0,0,1
