session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,0,82,111,7,5,0,0,0,79,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward III Dan Jumbo/ Beresiri,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,,0,69,93,7,5,0,0,0,65,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ward III Orosiriri,South South,Rivers,Bonny,Ward III Orosiriri,,0,18,25,2,0,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Agbonchia,South South,Rivers,Eleme,Agbonchia,,0,15,21,0,0,0,0,0,16,0
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Alesa,South South,Rivers,Eleme,Alesa,,0,37,52,3,2,0,0,0,37,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Choba,South South,Rivers,Obio-Akpor,Choba,,0,22,34,2,0,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Elelenwo (3B),South South,Rivers,Obio-Akpor,Elelenwo (3B),,0,18,21,2,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Oro-Igwe,South South,Rivers,Obio-Akpor,Oro-Igwe,,0,55,78,5,3,0,0,0,55,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Kalio,South South,Rivers,Okrika,Kalio,,0,21,30,3,2,0,0,0,20,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abuloma/Amadi-Ama,South South,Rivers,Port Harcourt,Abuloma/Amadi-Ama,,0,16,21,2,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Diobu,South South,Rivers,Port Harcourt,Diobu,,0,53,78,5,3,0,0,0,55,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Elekahia,South South,Rivers,Port Harcourt,Elekahia,,0,25,38,3,2,0,0,0,26,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ward III Dan Jumbo/ Beresiri,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,,0,31,40,5,3,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ward III Orosiriri,South South,Rivers,Bonny,Ward III Orosiriri,,0,45,67,7,5,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Agbonchia,South South,Rivers,Eleme,Agbonchia,,0,12,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Akpajo,South South,Rivers,Eleme,Akpajo,,0,36,52,5,3,0,0,0,36,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Alesa,South South,Rivers,Eleme,Alesa,,0,45,62,7,5,0,0,0,42,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Choba,South South,Rivers,Obio-Akpor,Choba,,0,29,38,5,3,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Elelenwo (3B),South South,Rivers,Obio-Akpor,Elelenwo (3B),,0,71,93,10,9,0,0,0,63,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Oro-Igwe,South South,Rivers,Obio-Akpor,Oro-Igwe,,0,60,78,7,5,0,0,0,54,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Kalio,South South,Rivers,Okrika,Kalio,,0,18,21,3,2,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ogoloma I,South South,Rivers,Okrika,Ogoloma I,,0,21,30,3,2,0,0,0,20,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abuloma/Amadi-Ama,South South,Rivers,Port Harcourt,Abuloma/Amadi-Ama,,0,56,74,7,5,0,0,0,51,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Diobu,South South,Rivers,Port Harcourt,Diobu,,0,31,40,5,3,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Elekahia,South South,Rivers,Port Harcourt,Elekahia,,0,28,38,5,3,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ward III Orosiriri,South South,Rivers,Bonny,Ward III Orosiriri,,0,24,38,66,64,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Agbonchia,South South,Rivers,Eleme,Agbonchia,,0,52,74,132,90,47,0,0,0,24
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Akpajo,South South,Rivers,Eleme,Akpajo,,0,47,66,83,82,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Alesa,South South,Rivers,Eleme,Alesa,,0,35,44,66,64,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Choba,South South,Rivers,Obio-Akpor,Choba,,0,45,62,88,66,27,0,0,0,13
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Kalio,South South,Rivers,Okrika,Kalio,,0,45,62,107,85,27,0,0,0,13
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ogan,South South,Rivers,Okrika,Ogan,,0,76,106,215,175,41,0,0,0,23
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ogoloma I,South South,Rivers,Okrika,Ogoloma I,,0,61,84,100,99,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Abuloma/Amadi-Ama,South South,Rivers,Port Harcourt,Abuloma/Amadi-Ama,,0,25,38,66,42,27,0,0,0,14
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Diobu,South South,Rivers,Port Harcourt,Diobu,,0,15,19,24,23,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Elekahia,South South,Rivers,Port Harcourt,Elekahia,,0,32,44,83,66,20,0,0,0,10
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,0,52,70,5,3,0,0,0,49,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ward III Dan Jumbo/ Beresiri,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,,0,45,63,5,3,0,0,0,44,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ward III Orosiriri,South South,Rivers,Bonny,Ward III Orosiriri,,0,12,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Agbonchia,South South,Rivers,Eleme,Agbonchia,,0,8,12,0,0,0,0,0,9,0
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Alesa,South South,Rivers,Eleme,Alesa,,0,24,34,3,2,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Choba,South South,Rivers,Obio-Akpor,Choba,,0,13,19,2,0,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Elelenwo (3B),South South,Rivers,Obio-Akpor,Elelenwo (3B),,0,12,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Oro-Igwe,South South,Rivers,Obio-Akpor,Oro-Igwe,,0,36,48,3,2,0,0,0,34,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Kalio,South South,Rivers,Okrika,Kalio,,0,12,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Abuloma/Amadi-Ama,South South,Rivers,Port Harcourt,Abuloma/Amadi-Ama,,0,9,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Diobu,South South,Rivers,Port Harcourt,Diobu,,0,36,47,3,2,0,0,0,33,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Elekahia,South South,Rivers,Port Harcourt,Elekahia,,0,16,21,2,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ward III Dan Jumbo/ Beresiri,South South,Rivers,Bonny,Ward III Dan Jumbo/ Beresiri,,0,21,25,3,2,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ward III Orosiriri,South South,Rivers,Bonny,Ward III Orosiriri,,0,29,38,5,3,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Agbonchia,South South,Rivers,Eleme,Agbonchia,,0,8,12,2,0,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Akpajo,South South,Rivers,Eleme,Akpajo,,0,28,38,5,3,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Alesa,South South,Rivers,Eleme,Alesa,,0,31,40,5,3,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Choba,South South,Rivers,Obio-Akpor,Choba,,0,16,21,2,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Elelenwo (3B),South South,Rivers,Obio-Akpor,Elelenwo (3B),,0,44,59,5,3,0,0,0,41,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Oro-Igwe,South South,Rivers,Obio-Akpor,Oro-Igwe,,0,35,44,3,2,0,0,0,31,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Kalio,South South,Rivers,Okrika,Kalio,,0,12,15,2,0,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ogoloma I,South South,Rivers,Okrika,Ogoloma I,,0,13,19,2,0,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Abuloma/Amadi-Ama,South South,Rivers,Port Harcourt,Abuloma/Amadi-Ama,,0,35,44,5,3,0,0,0,30,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Diobu,South South,Rivers,Port Harcourt,Diobu,,0,21,25,3,2,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Elekahia,South South,Rivers,Port Harcourt,Elekahia,,0,20,25,3,2,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ward III Orosiriri,South South,Rivers,Bonny,Ward III Orosiriri,,0,15,21,42,40,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Agbonchia,South South,Rivers,Eleme,Agbonchia,,0,31,46,59,57,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Akpajo,South South,Rivers,Eleme,Akpajo,,0,31,40,66,49,20,0,0,0,10
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Alesa,South South,Rivers,Eleme,Alesa,,0,17,25,42,24,20,0,0,0,10
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Choba,South South,Rivers,Obio-Akpor,Choba,,0,31,42,66,64,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Kalio,South South,Rivers,Okrika,Kalio,,0,29,38,66,64,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ogan,South South,Rivers,Okrika,Ogan,,0,50,70,112,111,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ogoloma I,South South,Rivers,Okrika,Ogoloma I,,0,37,48,83,82,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Abuloma/Amadi-Ama,South South,Rivers,Port Harcourt,Abuloma/Amadi-Ama,,0,18,25,42,40,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Diobu,South South,Rivers,Port Harcourt,Diobu,,0,12,15,24,23,0,0,0,0,1
