session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abak Urban I,South South,Akwa Ibom,Abak,Abak Urban I,,0,21,29,7,6,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Abak Urban III,South South,Akwa Ibom,Abak,Abak Urban III,,0,32,37,7,6,0,0,0,30,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Central I,South South,Akwa Ibom,Eket,Central I,,0,51,75,21,19,0,0,0,55,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Central III,South South,Akwa Ibom,Eket,Central III,,0,14,18,6,4,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ikot Ekpene I,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,,0,12,16,6,4,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ikot Ekpene II,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene II,,0,59,82,19,15,4,0,0,63,3
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ikot Ekpene III,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,,0,32,45,10,8,0,0,0,35,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Oron Urban I,South South,Akwa Ibom,Oron,Oron Urban I,,0,17,21,6,4,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Oron Urban III,South South,Akwa Ibom,Oron,Oron Urban III,,0,18,25,7,6,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Etoi I,South South,Akwa Ibom,Uyo,Etoi I,,0,21,29,7,6,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Etoi II,South South,Akwa Ibom,Uyo,Etoi II,,0,29,36,8,7,0,0,0,28,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ikono I,South South,Akwa Ibom,Uyo,Ikono I,,0,13,18,4,3,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abak Urban I,South South,Akwa Ibom,Abak,Abak Urban I,,0,14,16,6,4,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abak Urban II,South South,Akwa Ibom,Abak,Abak Urban II,,0,25,34,11,10,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Abak Urban III,South South,Akwa Ibom,Abak,Abak Urban III,,0,17,21,6,4,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Central I,South South,Akwa Ibom,Eket,Central I,,0,29,41,11,8,4,0,0,30,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Central II,South South,Akwa Ibom,Eket,Central II,,0,44,62,17,15,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Central III,South South,Akwa Ibom,Eket,Central III,,0,24,34,12,10,4,0,0,23,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ikot Ekpene I,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,,0,26,37,11,10,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ikot Ekpene III,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,,0,12,16,6,4,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Oron Urban I,South South,Akwa Ibom,Oron,Oron Urban I,,0,17,21,8,6,4,0,0,14,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Oron Urban II,South South,Akwa Ibom,Oron,Oron Urban II,,0,17,25,6,4,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Oron Urban III,South South,Akwa Ibom,Oron,Oron Urban III,,0,18,25,8,6,4,0,0,17,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Etoi I,South South,Akwa Ibom,Uyo,Etoi I,,0,34,48,14,12,0,0,0,35,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Etoi II,South South,Akwa Ibom,Uyo,Etoi II,,0,11,14,3,1,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ikono I,South South,Akwa Ibom,Uyo,Ikono I,,0,17,25,8,7,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Abak Urban I,South South,Akwa Ibom,Abak,Abak Urban I,,0,37,50,94,93,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Abak Urban II,South South,Akwa Ibom,Abak,Abak Urban II,,0,38,48,98,83,13,0,0,0,11
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Abak Urban III,South South,Akwa Ibom,Abak,Abak Urban III,,0,20,27,36,35,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Central II,South South,Akwa Ibom,Eket,Central II,,0,20,29,58,57,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Central III,South South,Akwa Ibom,Eket,Central III,,0,12,16,40,24,13,0,0,0,12
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ikot Ekpene I,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,,0,36,50,98,97,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ikot Ekpene II,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene II,,0,16,25,40,39,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ikot Ekpene III,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,,0,20,29,58,57,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Oron Urban I,South South,Akwa Ibom,Oron,Oron Urban I,,0,25,33,58,46,13,0,0,0,9
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Oron Urban II,South South,Akwa Ibom,Oron,Oron Urban II,,0,51,72,138,107,25,0,0,0,23
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Oron Urban III,South South,Akwa Ibom,Oron,Oron Urban III,,0,47,63,116,101,13,0,0,0,11
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Etoi I,South South,Akwa Ibom,Uyo,Etoi I,,0,17,25,36,35,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Etoi II,South South,Akwa Ibom,Uyo,Etoi II,,0,22,32,58,57,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ikono I,South South,Akwa Ibom,Uyo,Ikono I,,0,29,36,72,71,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Abak Urban I,South South,Akwa Ibom,Abak,Abak Urban I,,0,14,18,4,3,0,0,0,14,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Abak Urban III,South South,Akwa Ibom,Abak,Abak Urban III,,0,18,21,4,3,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Central I,South South,Akwa Ibom,Eket,Central I,,0,33,43,11,10,0,0,0,32,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Central III,South South,Akwa Ibom,Eket,Central III,,0,9,14,6,3,4,0,0,9,2
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ikot Ekpene I,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,,0,8,11,3,1,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ikot Ekpene II,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene II,,0,38,54,11,10,0,0,0,42,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ikot Ekpene III,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,,0,20,29,7,6,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Oron Urban I,South South,Akwa Ibom,Oron,Oron Urban I,,0,9,14,3,1,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Oron Urban III,South South,Akwa Ibom,Oron,Oron Urban III,,0,11,16,3,1,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Etoi I,South South,Akwa Ibom,Uyo,Etoi I,,0,13,18,6,3,4,0,0,13,2
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Etoi II,South South,Akwa Ibom,Uyo,Etoi II,,0,20,25,4,3,0,0,0,20,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,ward,Ikono I,South South,Akwa Ibom,Uyo,Ikono I,,0,8,11,3,1,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Abak Urban I,South South,Akwa Ibom,Abak,Abak Urban I,,0,11,14,3,1,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Abak Urban II,South South,Akwa Ibom,Abak,Abak Urban II,,0,17,21,6,4,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Abak Urban III,South South,Akwa Ibom,Abak,Abak Urban III,,0,11,14,3,1,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Central I,South South,Akwa Ibom,Eket,Central I,,0,18,25,6,4,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Central II,South South,Akwa Ibom,Eket,Central II,,0,29,37,14,8,4,0,0,25,4
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Central III,South South,Akwa Ibom,Eket,Central III,,0,15,21,6,4,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ikot Ekpene I,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,,0,16,21,6,4,0,0,0,16,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ikot Ekpene III,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,,0,7,11,3,1,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Oron Urban I,South South,Akwa Ibom,Oron,Oron Urban I,,0,9,14,6,3,4,0,0,9,2
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Oron Urban II,South South,Akwa Ibom,Oron,Oron Urban II,,0,11,14,3,1,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Oron Urban III,South South,Akwa Ibom,Oron,Oron Urban III,,0,11,16,3,1,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Etoi I,South South,Akwa Ibom,Uyo,Etoi I,,0,21,27,8,6,4,0,0,19,2
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Etoi II,South South,Akwa Ibom,Uyo,Etoi II,,0,6,9,3,1,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,ward,Ikono I,South South,Akwa Ibom,Uyo,Ikono I,,0,11,16,6,3,4,0,0,11,2
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Abak Urban I,South South,Akwa Ibom,Abak,Abak Urban I,,0,25,34,58,57,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Abak Urban II,South South,Akwa Ibom,Abak,Abak Urban II,,0,24,32,36,35,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Abak Urban III,South South,Akwa Ibom,Abak,Abak Urban III,,0,13,18,18,17,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Central II,South South,Akwa Ibom,Eket,Central II,,0,13,18,36,35,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Central III,South South,Akwa Ibom,Eket,Central III,,0,8,11,18,17,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ikot Ekpene I,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,,0,21,32,58,57,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ikot Ekpene II,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene II,,0,11,14,40,18,17,0,0,0,16
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Ikot Ekpene III,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene III,,0,13,18,40,24,13,0,0,0,12
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Oron Urban I,South South,Akwa Ibom,Oron,Oron Urban I,,0,17,25,36,35,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,ward,Oron Urban II,South South,Akwa Ibom,Oron,Oron Urban II,,0,34,50,76,75,0,0,0,0,1
