session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,City Centre,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,,0,22,28,8,6,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Garki,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Garki,,0,25,32,6,5,0,0,0,28,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gui,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Gui,,0,28,34,6,5,0,0,0,30,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Bwari Central,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,,0,11,16,4,3,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Byazhin,North Central,Abuja Federal Capital Territory,Bwari,Byazhin,,0,29,36,6,4,21,0,0,32,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dutse Alhaji,North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,,0,17,21,4,3,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Dobi,North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,,0,8,9,1,0,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gwagwalada Centre,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,0,21,27,6,4,21,0,0,23,2
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Chibiri,North Central,Abuja Federal Capital Territory,Kuje,Chibiri,,0,8,10,3,1,0,0,0,8,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gaube,North Central,Abuja Federal Capital Territory,Kuje,Gaube,,0,21,27,4,3,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Ashara,North Central,Abuja Federal Capital Territory,Kwali,Ashara,,0,19,25,4,3,0,0,0,23,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,ward,Gumbo,North Central,Abuja Federal Capital Territory,Kwali,Gumbo,,0,9,12,3,1,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,City Centre,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,,0,12,16,1,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Garki,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Garki,,0,14,19,1,0,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Bwari Central,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,,0,16,22,1,0,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Byazhin,North Central,Abuja Federal Capital Territory,Bwari,Byazhin,,0,12,15,0,0,0,0,0,15,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dutse Alhaji,North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,,0,8,12,0,0,0,0,0,12,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dobi,North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,,0,18,25,1,0,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gwako,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,,0,9,13,0,0,0,0,0,13,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Chibiri,North Central,Abuja Federal Capital Territory,Kuje,Chibiri,,0,17,22,1,0,0,0,0,22,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gaube,North Central,Abuja Federal Capital Territory,Kuje,Gaube,,0,9,15,0,0,0,0,0,15,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gudun Karya,North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,,0,18,24,1,0,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Ashara,North Central,Abuja Federal Capital Territory,Kwali,Ashara,,0,13,16,0,0,0,0,0,16,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Dafa,North Central,Abuja Federal Capital Territory,Kwali,Dafa,,0,10,15,0,0,0,0,0,15,0
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,ward,Gumbo,North Central,Abuja Federal Capital Territory,Kwali,Gumbo,,0,14,20,1,0,0,0,0,19,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gui,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,Gui,,0,5,7,3,1,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Bwari Central,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,,0,5,7,1,0,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Dutse Alhaji,North Central,Abuja Federal Capital Territory,Bwari,Dutse Alhaji,,0,15,21,6,5,0,0,0,17,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Dobi,North Central,Abuja Federal Capital Territory,Gwagwalada,Dobi,,0,12,15,4,3,0,0,0,12,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gwagwalada Centre,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwagwalada Centre,,0,8,9,3,1,0,0,0,7,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gwako,North Central,Abuja Federal Capital Territory,Gwagwalada,Gwako,,0,21,28,10,9,0,0,0,21,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Chibiri,North Central,Abuja Federal Capital Territory,Kuje,Chibiri,,0,10,13,4,3,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gaube,North Central,Abuja Federal Capital Territory,Kuje,Gaube,,0,6,7,3,1,0,0,0,5,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Gudun Karya,North Central,Abuja Federal Capital Territory,Kuje,Gudun Karya,,0,5,7,1,0,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,1-year,University,ward,Ashara,North Central,Abuja Federal Capital Territory,Kwali,Ashara,,0,12,16,4,3,0,0,0,13,1
