session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,442.0,0,247.3876,4,1,1.7867,110.5,442.0,3,3,0,2,2,0,43.95
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,246.0,0,338.3389,4,2,0.7271,61.5,123.0,3,3,0,2,2,0,43.95
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,232.0,0,320.1486,4,2,0.7247,58.0,116.0,3,3,0,2,2,0,43.95
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,225.0,0,309.2345,4,2,0.7276,56.25,112.5,3,3,0,2,2,0,43.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,475.0,0,945.8937,13,5,0.5022,36.5385,95.0,9,8,1,7,8,1,43.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,456.0,0,909.5132,12,5,0.5014,38.0,91.2,8,8,1,6,7,1,43.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,443.0,0,884.0468,12,5,0.5011,36.9167,88.6,8,8,1,6,7,1,43.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,430.0,0,858.5804,12,4,0.5008,35.8333,107.5,8,8,1,6,7,1,43.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,432.0,0,862.2185,12,4,0.501,36.0,108.0,8,8,1,6,7,1,43.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,432.0,0,862.2185,12,4,0.501,36.0,108.0,8,8,1,6,7,1,43.95
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,190.0,117,247.3876,3,2,0.768,63.3333,95.0,2,2,0,2,2,0,43.95
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,174.0,107,225.5593,3,2,0.7714,58.0,87.0,2,2,0,2,2,0,43.95
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,164.0,101,214.6451,2,2,0.7641,82.0,82.0,1,1,0,1,1,0,43.95
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,2.0,0,29.1044,1,1,0.0687,2.0,2.0,1,1,0,1,1,0,43.95
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,1566.0,0,518.349,13,4,3.0211,120.4615,391.5,9,8,1,7,8,1,43.95
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,871.0,0,317.9207,15,8,2.7397,58.0667,108.875,10,9,1,8,9,1,43.95
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,823.0,0,300.6424,14,8,2.7375,58.7857,102.875,9,9,1,7,8,1,43.95
