session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Mpu,South East,Enugu,Aninri,Mpu,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,34.8
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Mpu,South East,Enugu,Aninri,Mpu,,14,0,0.254632,1,1,54.9813,14.0,14.0,1,1,1,1,1,1,34.8
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Mpu,South East,Enugu,Aninri,Mpu,,14,0,0.255538,1,1,54.7864,14.0,14.0,1,1,1,1,1,1,34.8
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Mpu,South East,Enugu,Aninri,Mpu,,13,0,0.218804,1,1,59.4139,13.0,13.0,1,1,1,1,1,1,34.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Mpu,South East,Enugu,Aninri,Mpu,,22,0,0.729309,2,1,30.1655,11.0,22.0,1,1,1,0,1,1,34.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Mpu,South East,Enugu,Aninri,Mpu,,21,0,0.700715,1,1,29.9694,21.0,21.0,1,1,1,0,1,1,34.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Mpu,South East,Enugu,Aninri,Mpu,,20,0,0.661354,1,1,30.241,20.0,20.0,1,0,1,0,0,1,34.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Mpu,South East,Enugu,Aninri,Mpu,,19,0,0.625203,1,1,30.3901,19.0,19.0,1,0,1,1,0,1,34.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Mpu,South East,Enugu,Aninri,Mpu,,20,0,0.665134,1,1,30.0691,20.0,20.0,1,0,1,0,0,1,34.8
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Mpu,South East,Enugu,Aninri,Mpu,,20,0,0.665134,2,1,30.0691,10.0,20.0,2,0,1,1,0,1,34.8
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Mpu,South East,Enugu,Aninri,Mpu,,14,11,0.207271,1,1,67.5443,14.0,14.0,1,1,1,1,1,1,34.8
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Mpu,South East,Enugu,Aninri,Mpu,,13,10,0.177871,1,1,73.0866,13.0,13.0,1,1,1,1,1,1,34.8
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Mpu,South East,Enugu,Aninri,Mpu,,13,10,0.176116,1,1,73.815,13.0,13.0,1,1,1,1,1,1,34.8
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Mpu,South East,Enugu,Aninri,Mpu,,8,0,0.030067,0,0,266.0765,0.0,0.0,0,1,0,1,1,0,34.8
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Mpu,South East,Enugu,Aninri,Mpu,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,34.8
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Mpu,South East,Enugu,Aninri,Mpu,,32,0,0.19546,1,1,163.7167,32.0,32.0,1,0,1,1,0,1,34.8
