session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,45,0,0.1786,1,1,251.9597,45.0,45.0,1,1,1,0,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,178,0,0.7063,4,2,252.0176,44.5,89.0,1,2,1,0,0,1,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,168,0,0.6667,4,2,251.9874,42.0,84.0,1,1,2,0,0,1,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,163,0,0.6468,4,2,252.0099,40.75,81.5,1,2,1,0,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,505,0,2.0046,13,5,251.9206,38.8462,101.0,6,4,3,1,0,3,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,485,0,1.9258,12,5,251.8434,40.4167,97.0,4,5,3,1,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,471,0,1.8695,12,5,251.939,39.25,94.2,4,5,3,1,0,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,457,0,1.8132,12,4,252.0406,38.0833,114.25,4,7,3,1,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,460,0,1.8244,12,5,252.1377,38.3333,92.0,2,3,4,1,0,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,460,0,1.8244,12,4,252.1377,38.3333,115.0,3,4,4,1,0,1,14.4
