session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,0.0,0,181.9026,2,1,0.0,0.0,0.0,0,0,1,0,0,2,33.2
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,331.0,0,247.3876,6,3,1.338,55.1667,110.3333,1,0,2,1,1,5,33.2
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,311.0,0,232.8354,6,3,1.3357,51.8333,103.6667,1,0,2,1,1,5,33.2
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,302.0,0,225.5593,5,3,1.3389,60.4,100.6667,1,0,2,1,1,4,33.2
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,333.0,0,691.23,19,7,0.4817,17.5263,47.5714,4,1,4,3,2,15,33.2
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,319.0,0,662.1256,18,7,0.4818,17.7222,45.5714,4,1,4,3,2,15,33.2
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,310.0,0,643.9353,18,7,0.4814,17.2222,44.2857,4,1,4,3,2,15,33.2
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,300.0,0,625.7451,17,6,0.4794,17.6471,50.0,4,1,4,2,2,14,33.2
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,302.0,0,629.3831,18,6,0.4798,16.7778,50.3333,4,1,4,3,2,15,33.2
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,303.0,0,629.3831,17,6,0.4814,17.8235,50.5,4,1,4,2,2,14,33.2
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Ago Oko,South West,Ogun,Abeokuta North,Ago Oko,,169.0,212,181.9026,5,4,0.9291,33.8,42.25,1,0,3,1,1,4,33.2
