session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,170,0,0.6746,5,2,252.0012,34.0,85.0,6,1,1,1,0,1,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,675,0,2.6786,16,9,251.9973,42.1875,75.0,9,2,2,2,0,3,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,637,0,2.5278,15,8,251.9978,42.4667,79.625,12,2,3,2,0,1,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,618,0,2.4524,14,8,251.998,44.1429,77.25,8,1,2,2,0,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,1917,0,7.606,50,18,252.0379,38.34,106.5,36,3,5,8,1,4,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,1841,0,7.3069,48,17,251.9536,38.3542,108.2941,36,4,5,8,1,9,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,1788,0,7.0932,47,17,252.0724,38.0426,105.1765,29,4,4,6,0,7,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,1734,0,6.8796,45,16,252.0495,38.5333,108.375,43,2,5,5,1,4,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,1744,0,6.9223,46,17,251.9394,37.913,102.5882,41,3,3,8,0,4,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,1744,0,6.9223,46,17,251.9394,37.913,102.5882,43,4,6,5,1,6,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,559,559,2.2183,14,10,251.9948,39.9286,55.9,8,1,4,1,0,2,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,513,513,2.0357,13,9,252.0018,39.4615,57.0,9,1,2,2,0,2,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,482,482,1.9127,12,9,251.9998,40.1667,53.5556,12,1,3,2,0,1,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,66,0,0.2619,2,2,252.0046,33.0,33.0,3,0,1,1,0,1,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,192,0,0.5731,6,2,335.0201,32.0,96.0,6,0,1,1,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,762,0,2.2746,18,10,335.004,42.3333,76.2,12,2,4,2,0,2,14.4
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Ward II Court/ Ada Allison,South South,Rivers,Bonny,Ward II Court/ Ada Allison,,718,0,2.1433,17,10,334.9974,42.2353,71.8,16,2,2,2,0,2,14.4
