session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,21,0,0.0833,1,1,252.1008,21.0,21.0,1,0,1,0,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,83,0,0.3294,2,1,251.9733,41.5,83.0,2,1,1,1,0,0,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,78,0,0.3095,2,1,252.0194,39.0,78.0,2,0,0,0,0,1,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,76,0,0.3016,2,1,251.9894,38.0,76.0,1,0,0,1,0,0,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,235,0,0.9331,6,3,251.8487,39.1667,78.3333,2,2,1,2,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,226,0,0.8964,6,3,252.1196,37.6667,75.3333,3,3,2,1,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,219,0,0.8702,6,2,251.6663,36.5,109.5,4,1,2,2,0,2,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,213,0,0.844,5,2,252.3697,42.6,106.5,6,1,2,1,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,214,0,0.8492,5,2,252.0019,42.8,107.0,2,1,2,2,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,214,0,0.8492,6,2,252.0019,35.6667,107.0,4,1,2,2,0,1,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,69,69,0.2738,2,1,252.0088,34.5,69.0,2,1,1,0,0,0,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,63,63,0.25,2,1,252.0,31.5,63.0,2,1,1,0,0,1,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,59,59,0.2341,1,1,252.029,59.0,59.0,1,1,1,1,0,0,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,6,0,0.0238,1,1,252.1008,6.0,6.0,1,0,1,0,0,0,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,28,0,0.0836,1,1,334.9282,28.0,28.0,1,0,1,0,0,0,14.4
