session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,50,0,0.1984,2,1,252.0161,25.0,50.0,0,1,1,1,0,1,14.4
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,ward,Brass I,South South,Bayelsa,Brass,Brass I,,198,0,0.7857,5,3,252.0046,39.6,66.0,2,2,3,2,0,3,14.4
2024/2025,Female,ALL,Private,JSS,JSS2,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,186,0,0.7381,4,2,251.9984,46.5,93.0,1,1,2,2,0,2,14.4
2024/2025,Female,ALL,Private,JSS,JSS3,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,181,0,0.7183,4,2,251.9839,45.25,90.5,1,1,2,1,0,1,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,ward,Brass I,South South,Bayelsa,Brass,Brass I,,561,0,2.2264,15,5,251.9763,37.4,112.2,2,6,5,6,0,8,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,539,0,2.1389,14,5,251.9987,38.5,107.8,2,6,3,5,1,9,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,523,0,2.0763,14,5,251.8904,37.3571,104.6,2,3,5,8,1,10,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,507,0,2.0138,13,5,251.7628,39.0,101.4,2,3,5,4,0,4,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,511,0,2.0263,13,5,252.1838,39.3077,102.2,4,6,5,7,0,10,14.4
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,511,0,2.0263,13,5,252.1838,39.3077,102.2,2,6,5,9,0,4,14.4
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,ward,Brass I,South South,Bayelsa,Brass,Brass I,,163,163,0.6468,4,3,252.0099,40.75,54.3333,1,1,3,2,0,2,14.4
2024/2025,Female,ALL,Private,SSS,SSS2,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,150,150,0.5952,4,3,252.0161,37.5,50.0,1,2,3,2,0,2,14.4
2024/2025,Female,ALL,Private,SSS,SSS3,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,141,141,0.5595,3,3,252.0107,47.0,47.0,1,2,3,3,0,3,14.4
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,14,0,0.0556,1,1,251.7986,14.0,14.0,0,0,1,1,0,0,14.4
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,106,0,0.3164,3,1,335.019,35.3333,106.0,1,2,1,1,0,1,14.4
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,ward,Brass I,South South,Bayelsa,Brass,Brass I,,420,0,1.2537,10,6,335.0084,42.0,70.0,3,3,4,3,0,6,14.4
2024/2025,Female,ALL,Public,JSS,JSS2,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,396,0,1.1821,9,5,334.997,44.0,79.2,1,4,3,6,0,5,14.4
2024/2025,Female,ALL,Public,JSS,JSS3,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,384,0,1.1463,9,5,334.9908,42.6667,76.8,2,2,4,7,0,5,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,ward,Brass I,South South,Bayelsa,Brass,Brass I,,1193,0,3.5611,32,11,335.0088,37.2812,108.4545,8,15,9,14,1,17,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,1146,0,3.421,30,11,334.9898,38.2,104.1818,8,8,10,10,0,8,14.4
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 3,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,1112,0,3.321,29,11,334.8389,38.3448,101.0909,4,10,10,15,1,17,14.4
