session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South South,Cross River,Abi,Adadama,"Adult & Non-Formal Centre, Adadama",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Adult & Non-Formal Centre, Adadama",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Adult & Non-Formal Centre, Adadama",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Adult & Non-Formal Centre, Adadama",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.0,18877.8551,10,5,0,0.0002,0.4,0.8,7,8,1,5,7,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,4.0,18135.6923,13,5,0,0.0002,0.3077,0.8,10,10,1,6,9,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,4.0,17604.5367,9,5,0,0.0002,0.4444,0.8,7,7,1,4,6,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,4.0,17077.019,11,5,0,0.0002,0.3636,0.8,8,9,1,5,8,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,4.0,17182.5226,10,5,0,0.0002,0.4,0.8,7,8,1,5,7,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,4.0,17182.5226,12,5,0,0.0002,0.3333,0.8,9,9,1,6,8,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,JSS,JSS1,JSS1,3.0,0.0,10,3,0,0.0,0.3,1.0,7,8,1,5,7,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,JSS,JSS2,,3.0,0.0,8,2,0,0.0,0.375,1.5,6,6,0,4,6,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,JSS,JSS3,,4.0,21169.3718,13,3,0,0.0002,0.3077,1.3333,10,10,1,6,9,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,8.0,8141.5344,17,4,0,0.001,0.4706,2.0,12,13,1,8,12,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,7.0,7823.6137,16,4,0,0.0009,0.4375,1.75,12,13,1,8,11,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,7.0,7592.0845,12,4,0,0.0009,0.5833,1.75,9,9,1,6,8,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,7.0,7364.011,18,4,0,0.001,0.3889,1.75,13,14,1,9,13,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,7.0,7408.9346,15,4,0,0.0009,0.4667,1.75,11,12,1,7,10,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,7.0,7408.9346,18,4,0,0.0009,0.3889,1.75,13,14,1,9,13,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,SSS,SSS1,SSS1,0.0,76.0245,4,4,0,0.0,0.0,0.0,3,3,1,2,3,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,SSS,SSS2,,0.0,76.0245,4,4,0,0.0,0.0,0.0,3,3,1,2,3,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,ALL,Public,SSS,SSS3,,0.0,76.0245,4,4,1,0.0,0.0,0.0,3,3,1,2,3,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.0,18877.8551,10,5,0,0.0002,0.4,0.8,7,8,1,5,7,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,4.0,18135.6923,13,5,0,0.0002,0.3077,0.8,10,10,1,6,9,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,4.0,17604.5367,9,5,0,0.0002,0.4444,0.8,7,7,1,4,6,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Private,Pre-Primary/Primary,Primary 4,,4.0,17077.019,11,5,0,0.0002,0.3636,0.8,8,9,1,5,8,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Private,Pre-Primary/Primary,Primary 5,,4.0,17182.5226,10,5,0,0.0002,0.4,0.8,7,8,1,5,7,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Private,Pre-Primary/Primary,Primary 6,,4.0,17182.5226,12,5,0,0.0002,0.3333,0.8,9,9,1,6,8,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,JSS,JSS1,JSS1,3.0,0.0,10,3,0,0.0,0.3,1.0,7,8,1,5,7,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,JSS,JSS2,,2.0,0.0,8,2,0,0.0,0.25,1.0,6,6,0,4,6,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,JSS,JSS3,,4.0,21165.9161,13,3,0,0.0002,0.3077,1.3333,10,10,1,6,9,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,7.0,8141.5344,17,4,0,0.0009,0.4118,1.75,12,13,1,8,12,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,Pre-Primary/Primary,Primary 2,,7.0,7823.6137,16,4,0,0.0009,0.4375,1.75,12,13,1,8,11,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,Pre-Primary/Primary,Primary 3,,7.0,7592.0845,12,4,0,0.0009,0.5833,1.75,9,9,1,6,8,2,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,Pre-Primary/Primary,Primary 4,,7.0,7364.011,18,4,0,0.001,0.3889,1.75,13,14,1,9,13,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,Pre-Primary/Primary,Primary 5,,7.0,7408.9346,15,4,0,0.0009,0.4667,1.75,11,12,1,7,10,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,Pre-Primary/Primary,Primary 6,,7.0,7408.9346,18,4,0,0.0009,0.3889,1.75,13,14,1,9,13,3,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,SSS,SSS1,SSS1,0.0,76.0245,4,4,0,0.0,0.0,0.0,3,3,1,2,3,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,SSS,SSS2,,0.0,76.0245,4,4,0,0.0,0.0,0.0,3,3,1,2,3,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Male,ALL,Public,SSS,SSS3,,0.0,76.0245,4,4,1,0.0,0.0,0.0,3,3,1,2,3,1,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,1.0,1226.0237,0,0,0,0.0008,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Private,Pre-Primary/Primary,Primary 2,,1.0,1178.7291,0,0,0,0.0008,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Private,Pre-Primary/Primary,Primary 3,,1.0,1145.9866,0,0,0,0.0009,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Private,Pre-Primary/Primary,Primary 4,,1.0,1109.6061,0,0,0,0.0009,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Private,Pre-Primary/Primary,Primary 5,,1.0,1116.8822,0,0,0,0.0009,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Private,Pre-Primary/Primary,Primary 6,,1.0,1116.8822,0,0,0,0.0009,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,JSS,JSS1,JSS1,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,JSS,JSS2,,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,JSS,JSS3,,1.0,1375.3526,0,0,0,0.0007,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,1.0,528.7159,0,0,0,0.0019,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,Pre-Primary/Primary,Primary 2,,1.0,507.982,0,0,0,0.002,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,Pre-Primary/Primary,Primary 3,,1.0,494.1593,0,0,0,0.002,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,Pre-Primary/Primary,Primary 4,,1.0,480.3367,0,0,0,0.0021,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,Pre-Primary/Primary,Primary 5,,1.0,480.3367,0,0,0,0.0021,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,Pre-Primary/Primary,Primary 6,,1.0,480.3367,0,0,0,0.0021,0.0,0.0,0,0,0,0,0,0,51.62
2024/2025,South South,Cross River,Abi,Adadama,"Community Secondary School, Adadama",Female,Disabled,Public,SSS,SSS1,SSS1,0.0,6.9113,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,51.62
