session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Adult & Non-Formal Centre, Ado 'A' Idofin",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Adult & Non-Formal Centre, Ado 'A' Idofin",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Adult & Non-Formal Centre, Ado 'A' Idofin",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Adult & Non-Formal Centre, Ado 'A' Idofin",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,66.0,356.5292,2,1,0,0.1851,33.0,66.0,1,1,0,1,1,1,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,64.0,356.5292,2,1,0,0.1795,32.0,64.0,1,1,0,1,1,1,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,61.0,356.5292,2,1,0,0.1711,30.5,61.0,1,1,0,1,1,1,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,60.0,356.5292,2,1,0,0.1683,30.0,60.0,1,1,0,1,1,1,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,60.0,356.5292,1,1,0,0.1683,60.0,60.0,0,0,0,0,0,1,37.45
2024/2025,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,"Community Secondary School, Ado 'A' Idofin",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,60.0,356.5292,2,1,0,0.1683,30.0,60.0,1,1,0,1,1,1,37.45
