session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Adult & Non-Formal Centre, Agyaga",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Adult & Non-Formal Centre, Agyaga",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Adult & Non-Formal Centre, Agyaga",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Adult & Non-Formal Centre, Agyaga",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,112,1.068,3,2,0,104.8689,37.3333,56.0,3,1,17,3,0,3,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,107,1.026,2,2,0,104.2885,53.5,53.5,5,1,11,3,0,3,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,104,0.996,3,2,0,104.4177,34.6667,52.0,6,0,20,4,0,5,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,101,0.966,3,2,0,104.5549,33.6667,50.5,3,1,17,4,0,4,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,101,0.972,2,2,0,103.9095,50.5,50.5,4,1,11,6,0,3,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,101,0.972,3,2,0,103.9095,33.6667,50.5,3,1,12,2,0,3,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Public,JSS,JSS1,JSS1,469,2.0,6,5,0,234.5,78.1667,93.8,5,2,15,7,0,9,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Public,JSS,JSS2,,475,2.0,6,5,0,237.5,79.1667,95.0,8,1,17,4,0,11,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Public,JSS,JSS3,,326,0.0,5,3,0,0.0,65.2,108.6667,4,1,15,5,0,7,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,251,0.0,4,2,0,0.0,62.75,125.5,4,1,19,9,0,5,14.4
2024/2025,North Central,Nasarawa,Akwanga,Agyaga,"Community Secondary School, Agyaga",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,241,0.0,4,2,0,0.0,60.25,120.5,5,1,12,7,0,9,14.4
