session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Adult & Non-Formal Centre, Bingi North",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,3102.0,5242.2359,35,13,0,0.5917,88.6286,238.6154,21,11,6,17,15,9,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Adult & Non-Formal Centre, Bingi North",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,3168.0,5242.2359,35,17,0,0.6043,90.5143,186.3529,21,11,8,17,15,9,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Adult & Non-Formal Centre, Bingi North",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,207.0,342.1103,35,1,0,0.6051,5.9143,207.0,21,11,0,17,15,9,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Adult & Non-Formal Centre, Bingi North",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,208.0,342.1103,35,1,0,0.608,5.9429,208.0,21,11,0,17,15,9,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,259.0,378.3575,6,1,0,0.6845,43.1667,259.0,4,2,0,3,3,2,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,248.0,363.8053,4,1,0,0.6817,62.0,248.0,2,1,0,2,2,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,241.0,352.8911,5,1,0,0.6829,48.2,241.0,3,2,0,2,2,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,233.0,341.9769,7,1,0,0.6813,33.2857,233.0,4,2,0,3,3,2,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,234.0,341.9769,5,1,0,0.6843,46.8,234.0,3,2,0,2,2,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,234.0,341.9769,5,1,0,0.6843,46.8,234.0,3,2,0,2,2,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,JSS,JSS1,JSS1,220.0,158.9603,4,4,0,1.384,55.0,55.0,2,1,2,2,2,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,JSS,JSS2,,198.0,158.9603,3,4,0,1.2456,66.0,49.5,2,1,2,1,1,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,JSS,JSS3,,168.0,158.9603,3,3,0,1.0569,56.0,56.0,2,1,1,1,1,1,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,601.0,362.8443,9,3,0,1.6564,66.7778,200.3333,5,3,1,4,4,2,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,578.0,345.566,10,3,0,1.6726,57.8,192.6667,6,3,1,5,4,3,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,561.0,338.6547,9,3,0,1.6566,62.3333,187.0,5,3,1,4,4,2,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,544.0,328.2877,10,3,0,1.6571,54.4,181.3333,6,3,1,5,4,3,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,547.0,328.2877,9,3,0,1.6662,60.7778,182.3333,5,3,1,4,4,2,41.8
2024/2025,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,547.0,328.2877,8,3,0,1.6662,68.375,182.3333,5,2,1,4,3,2,41.8
