session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Adult & Non-Formal Centre, Abakpa",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Adult & Non-Formal Centre, Abakpa",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Adult & Non-Formal Centre, Abakpa",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Adult & Non-Formal Centre, Abakpa",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,121.0,356.5292,3,2,0,0.3394,40.3333,60.5,2,2,0,2,2,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,116.0,356.5292,4,2,0,0.3254,29.0,58.0,3,3,0,3,3,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,113.0,356.5292,4,2,0,0.3169,28.25,56.5,3,3,0,3,3,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,110.0,356.5292,3,2,0,0.3085,36.6667,55.0,2,2,0,2,2,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,110.0,356.5292,3,2,0,0.3085,36.6667,55.0,2,2,0,2,2,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,110.0,356.5292,3,2,0,0.3085,36.6667,55.0,2,2,0,2,2,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,JSS,JSS1,JSS1,157.0,158.9603,4,3,0,0.9877,39.25,52.3333,3,3,0,3,3,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,JSS,JSS2,,135.0,158.9603,4,2,0,0.8493,33.75,67.5,3,3,0,3,3,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,JSS,JSS3,,140.0,158.9603,4,2,0,0.8807,35.0,70.0,3,3,0,3,3,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,283.0,342.1103,6,3,0,0.8272,47.1667,94.3333,5,4,0,5,5,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,272.0,342.1103,4,3,0,0.7951,68.0,90.6667,3,3,0,3,3,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,265.0,342.1103,5,3,0,0.7746,53.0,88.3333,4,4,0,4,4,1,55.95
2024/2025,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,256.0,342.1103,5,3,0,0.7483,51.2,85.3333,4,4,0,4,4,1,55.95
