session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2022/2023,South East,Enugu,Aninri,Mpu,"CENTRAL SCHOOL, MPU",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,0,0.0,0.0,0.0,74.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"CENTRAL SCHOOL, MPU",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0.0,0.0,0.0,74.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,COMMAND SCIENCE AND TECHNICAL SCHOOL MPU,Female,all,Private,SSS,SSS1,SSS1,0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,COMMAND SCIENCE AND TECHNICAL SCHOOL MPU,Female,disabled,Private,SSS,SSS1,SSS1,0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,COMMAND SCIENCE AND TECHNICAL SCHOOL MPU,Male,all,Public,JSS,JSS1,JSS1,1,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,COMMAND SCIENCE AND TECHNICAL SCHOOL MPU,Male,all,Public,SSS,SSS1,SSS1,28,0.0,1.0,0.0,78.8,1.0,0.0,26.0,0.0,0.4,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,COMMAND SCIENCE AND TECHNICAL SCHOOL MPU,Male,disabled,Public,JSS,JSS1,JSS1,3,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SCHOOL, EZINATO OHOFIA",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,14,0.0,1.0,0.0,74.8,0.0,0.0,43.0,0.0,0.27,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SCHOOL, MPU",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,2,1.0,0.0,0.0,74.8,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SCHOOL, MPU",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,4,1.0,0.0,0.0,74.8,0.0,5.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SECONDARY SCHOOL, MPU",Female,all,Private,JSS,JSS1,JSS1,0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SECONDARY SCHOOL, MPU",Female,all,Private,SSS,SSS1,SSS1,18,0.0,0.0,0.0,78.8,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SECONDARY SCHOOL, MPU",Female,disabled,Private,JSS,JSS1,JSS1,0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"COMMUNITY SECONDARY SCHOOL, MPU",Male,all,Public,JSS,JSS1,JSS1,34,0.0,1.0,0.0,76.8,0.0,0.0,38.0,0.0,0.3,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"GLORIOUS GRACE ACADEMY PRIMARY SCHOOL, AMAGU MPU",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,43,1.0,3.0,1.0,74.8,0.0,132.0,44.0,132.0,1.24,0.28,0.17,0.66,0.48,0.46
2022/2023,South East,Enugu,Aninri,Mpu,"KINGS FOUNDATION SECONDARY SCHOOL, MPU",Female,all,Private,JSS,JSS1,JSS1,14,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"KINGS FOUNDATION SECONDARY SCHOOL, MPU",Female,all,Public,SSS,SSS1,SSS1,0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"KINGS FOUNDATION SECONDARY SCHOOL, MPU",Female,disabled,Public,SSS,SSS1,SSS1,0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"KINGS FOUNDATION SECONDARY SCHOOL, MPU",Male,all,Private,SSS,SSS1,SSS1,0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"KINGS FOUNDATION SECONDARY SCHOOL, MPU",Male,disabled,Private,SSS,SSS1,SSS1,0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"MODEL SECONDARY SCHOOL, MPU",Female,all,Public,JSS,JSS1,JSS1,1,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"MODEL SECONDARY SCHOOL, MPU",Female,all,Public,SSS,SSS1,SSS1,33,0.0,1.0,0.0,78.8,1.0,0.0,24.0,0.0,0.42,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"MODEL SECONDARY SCHOOL, MPU",Female,disabled,Public,JSS,JSS1,JSS1,3,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"MODEL SECONDARY SCHOOL, MPU",Male,all,Private,JSS,JSS1,JSS1,0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"MODEL SECONDARY SCHOOL, MPU",Male,all,Private,SSS,SSS1,SSS1,15,0.0,0.0,0.0,78.8,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"MODEL SECONDARY SCHOOL, MPU",Male,disabled,Private,JSS,JSS1,JSS1,0,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"OUR SAVIOUR SECONDARY SCHOOL, EZZA MPU",Female,all,Public,JSS,JSS1,JSS1,38,0.0,1.0,1.0,76.8,0.0,0.0,42.0,42.0,0.28,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"OUR SAVIOUR SECONDARY SCHOOL, EZZA MPU",Male,all,Private,JSS,JSS1,JSS1,12,0.0,0.0,0.0,76.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"OUR SAVIOUR SECONDARY SCHOOL, EZZA MPU",Male,all,Public,SSS,SSS1,SSS1,1,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,"OUR SAVIOUR SECONDARY SCHOOL, EZZA MPU",Male,disabled,Public,SSS,SSS1,SSS1,5,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,PST NATH GLORIOUS BY GRACE ACADAMY AMAGU MPU,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,0,0.0,0.0,0.0,74.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,PST NATH GLORIOUS BY GRACE ACADAMY AMAGU MPU,Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,1,0.0,0.0,0.0,74.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2022/2023,South East,Enugu,Aninri,Mpu,TOTAL CHILD INTERNATIONAL NURSERY AND PRIMARY SCHOOL AMAGU MPU,Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,14,0.0,1.0,0.0,74.8,0.0,0.0,42.0,0.0,0.28,0,0,0,0,0
