session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Adult & Non-Formal Centre, Bwari Central",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Adult & Non-Formal Centre, Bwari Central",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Adult & Non-Formal Centre, Bwari Central",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Adult & Non-Formal Centre, Bwari Central",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,52,0.0,2,1,0,0.0,26.0,52.0,2,2,1,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,49,0.0,2,1,0,0.0,24.5,49.0,3,2,0,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,48,0.0,1,1,0,0.0,48.0,48.0,1,1,0,0,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,47,0.0,1,1,0,0.0,47.0,47.0,1,1,0,0,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,47,0.0,2,1,0,0.0,23.5,47.0,2,1,0,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,47,0.0,1,1,0,0.0,47.0,47.0,1,1,0,1,0,0,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,JSS,JSS1,JSS1,204,0.0,3,2,0,0.0,68.0,102.0,4,3,3,1,0,2,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,JSS,JSS2,,205,0.0,5,2,0,0.0,41.0,102.5,2,1,2,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,JSS,JSS3,,209,0.0,5,2,0,0.0,41.8,104.5,2,3,2,1,0,2,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,120,0.0,3,1,0,0.0,40.0,120.0,2,2,1,2,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,115,0.0,3,1,0,0.0,38.3333,115.0,1,1,1,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,112,0.0,3,1,0,0.0,37.3333,112.0,3,1,1,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,109,0.0,2,1,0,0.0,54.5,109.0,2,2,1,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,109,0.0,2,1,0,0.0,54.5,109.0,1,2,1,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,109,0.0,2,1,0,0.0,54.5,109.0,3,2,1,1,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,SSS,SSS1,SSS1,248,0.0,5,5,0,0.0,49.6,49.6,4,2,2,2,0,2,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,SSS,SSS2,,184,0.0,3,4,0,0.0,61.3333,46.0,2,3,2,2,0,1,14.4
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Bwari Central,"Community Secondary School, Bwari Central",Female,ALL,Public,SSS,SSS3,,146,0.0,3,3,132,0.0,48.6667,48.6667,2,1,1,1,0,1,14.4
