session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Adult & Non-Formal Centre, Alwasa/Gotomo",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,1395,4.0,46,9,0,348.75,30.3261,155.0,42,8,221,28,2,8,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Adult & Non-Formal Centre, Alwasa/Gotomo",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,1771,4.0,46,12,0,442.75,38.5,147.5833,42,8,221,28,2,8,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Adult & Non-Formal Centre, Alwasa/Gotomo",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,112,4.0,46,1,0,28.0,2.4348,112.0,42,8,221,28,2,8,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Adult & Non-Formal Centre, Alwasa/Gotomo",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,142,4.0,46,1,0,35.5,3.087,142.0,42,8,221,28,2,8,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,198,1.068,5,2,0,185.3933,39.6,99.0,6,2,5,3,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,191,1.026,6,2,0,186.1598,31.8333,95.5,8,3,2,4,0,2,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,185,0.996,6,2,0,185.743,30.8333,92.5,6,3,4,3,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,180,0.966,7,1,0,186.3354,25.7143,180.0,6,2,4,3,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,181,0.972,6,1,0,186.214,30.1667,181.0,6,2,3,4,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,181,0.972,6,1,0,186.214,30.1667,181.0,6,3,4,3,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,JSS,JSS1,JSS1,382,1.0,9,2,0,382.0,42.4444,191.0,10,4,9,6,0,2,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,JSS,JSS2,,317,0.0,8,2,0,0.0,39.625,158.5,8,2,10,5,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,JSS,JSS3,,305,0.0,6,2,0,0.0,50.8333,152.5,8,1,8,4,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,462,0.89,11,2,0,519.1011,42.0,231.0,14,2,9,10,0,2,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,444,0.855,14,2,0,519.2982,31.7143,222.0,13,5,6,8,0,2,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,431,0.83,14,2,0,519.2771,30.7857,215.5,13,2,10,6,1,2,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,418,0.805,12,2,0,519.2547,34.8333,209.0,12,4,6,4,0,2,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,421,0.81,13,2,0,519.7531,32.3846,210.5,12,4,9,5,0,1,14.4
2024/2025,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,420,0.81,10,2,0,518.5185,42.0,210.0,12,4,9,7,0,2,14.4
