session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Adult & Non-Formal Centre, Alim-Gora",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Adult & Non-Formal Centre, Alim-Gora",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Adult & Non-Formal Centre, Alim-Gora",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Adult & Non-Formal Centre, Alim-Gora",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,466.0,378.3575,12,5,0,1.2316,38.8333,93.2,10,12,0,10,10,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,448.0,363.8053,11,5,0,1.2314,40.7273,89.6,9,11,0,10,9,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,434.0,352.8911,14,4,0,1.2298,31.0,108.5,12,14,0,12,12,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,422.0,341.9769,12,4,0,1.234,35.1667,105.5,10,12,0,10,10,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,424.0,341.9769,13,4,0,1.2398,32.6154,106.0,11,13,0,11,11,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,424.0,341.9769,9,4,0,1.2398,47.1111,106.0,8,9,0,8,8,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,JSS,JSS1,JSS1,210.0,158.9603,3,2,0,1.3211,70.0,105.0,3,3,0,3,3,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,JSS,JSS2,,176.0,158.9603,3,1,0,1.1072,58.6667,176.0,3,3,0,3,3,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,JSS,JSS3,,158.0,158.9603,3,1,0,0.994,52.6667,158.0,3,3,0,3,3,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,1086.0,362.8443,19,17,0,2.993,57.1579,63.8824,16,19,0,17,16,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,1043.0,345.566,18,16,0,3.0182,57.9444,65.1875,15,18,0,16,15,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,1013.0,338.6547,23,15,0,2.9912,44.0435,67.5333,19,22,0,20,20,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,982.0,328.2877,25,15,0,2.9913,39.28,65.4667,21,24,0,22,21,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,989.0,328.2877,24,15,0,3.0126,41.2083,65.9333,20,23,0,21,21,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,988.0,328.2877,16,15,0,3.0096,61.75,65.8667,13,16,0,14,14,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,SSS,SSS1,SSS1,67.0,76.0245,1,1,0,0.8813,67.0,67.0,1,1,0,1,1,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,SSS,SSS2,,52.0,76.0245,1,1,0,0.684,52.0,52.0,1,1,0,1,1,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Female,ALL,Public,SSS,SSS3,,53.0,76.0245,1,1,41,0.6971,53.0,53.0,1,1,0,1,1,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,508.0,378.3575,13,5,0,1.3426,39.0769,101.6,11,13,0,11,11,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,488.0,363.8053,12,5,0,1.3414,40.6667,97.6,10,12,0,10,10,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,473.0,352.8911,15,5,0,1.3404,31.5333,94.6,13,15,0,13,13,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Private,Pre-Primary/Primary,Primary 4,,459.0,341.9769,13,5,0,1.3422,35.3077,91.8,11,13,0,11,11,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Private,Pre-Primary/Primary,Primary 5,,462.0,341.9769,14,5,0,1.351,33.0,92.4,12,14,0,12,12,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Private,Pre-Primary/Primary,Primary 6,,462.0,341.9769,10,5,0,1.351,46.2,92.4,8,10,0,9,9,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Public,JSS,JSS1,JSS1,238.0,158.9603,4,2,0,1.4972,59.5,119.0,3,4,0,3,3,0,59.27
2024/2025,North East,Taraba,Ardo-Kola,Alim-Gora,"Community Secondary School, Alim-Gora",Male,ALL,Public,JSS,JSS2,,191.0,158.9603,4,2,0,1.2016,47.75,95.5,3,4,0,3,3,0,59.27
