session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Adult & Non-Formal Centre, Barakin Ladi",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Adult & Non-Formal Centre, Barakin Ladi",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Adult & Non-Formal Centre, Barakin Ladi",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Adult & Non-Formal Centre, Barakin Ladi",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,192.0,407.4619,4,1,0,0.4712,48.0,192.0,3,2,0,2,2,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,184.0,392.9097,4,1,0,0.4683,46.0,184.0,3,2,0,2,2,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,180.0,381.9955,7,1,0,0.4712,25.7143,180.0,5,4,0,4,4,3,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,174.0,367.4433,4,1,0,0.4735,43.5,174.0,3,2,0,2,2,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,175.0,371.0814,4,1,0,0.4716,43.75,175.0,3,2,0,2,2,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,175.0,371.0814,4,1,0,0.4716,43.75,175.0,3,2,0,2,2,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Public,JSS,JSS1,JSS1,152.0,158.9603,5,1,0,0.9562,30.4,152.0,3,3,0,3,3,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Public,JSS,JSS2,,137.0,158.9603,5,1,0,0.8619,27.4,137.0,3,3,0,3,3,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Public,JSS,JSS3,,140.0,158.9603,6,1,0,0.8807,23.3333,140.0,4,3,0,3,3,2,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,447.0,342.1103,9,5,0,1.3066,49.6667,89.4,6,5,1,5,5,3,50.3
2024/2025,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,429.0,342.1103,11,5,0,1.254,39.0,85.8,7,6,1,6,6,4,50.3
