session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Adult & Non-Formal Centre, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,137.0,964.1291,8,10,0,0.1421,17.125,13.7,1,2,13,1,1,6,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Adult & Non-Formal Centre, Abule-Egba/Aboru/Meiran/Alagbado",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,77.0,964.1291,8,12,0,0.0799,9.625,6.4167,1,2,15,1,1,6,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Adult & Non-Formal Centre, Abule-Egba/Aboru/Meiran/Alagbado",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,9.0,65.6575,8,1,0,0.1371,1.125,9.0,1,2,1,1,1,6,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Adult & Non-Formal Centre, Abule-Egba/Aboru/Meiran/Alagbado",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,5.0,65.6575,8,1,0,0.0762,0.625,5.0,1,2,1,1,1,6,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,124.0,378.3575,9,3,0,0.3277,13.7778,41.3333,2,2,4,1,1,7,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,119.0,363.8053,9,3,0,0.3271,13.2222,39.6667,2,2,4,1,1,7,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,116.0,352.8911,10,3,0,0.3287,11.6,38.6667,2,2,4,1,2,7,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,112.0,341.9769,7,3,0,0.3275,16.0,37.3333,1,1,4,1,1,5,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,113.0,341.9769,12,3,0,0.3304,9.4167,37.6667,2,2,4,2,2,9,40.33
2024/2025,South West,Lagos,Alimosho,Abule-Egba/Aboru/Meiran/Alagbado,"Community Secondary School, Abule-Egba/Aboru/Meiran/Alagbado",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,113.0,341.9769,8,3,0,0.3304,14.125,37.6667,1,2,4,1,1,6,40.33
