session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Adult & Non-Formal Centre, Ankpa I",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Adult & Non-Formal Centre, Ankpa I",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Adult & Non-Formal Centre, Ankpa I",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Adult & Non-Formal Centre, Ankpa I",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,107.0,356.5292,1,1,0,0.3001,107.0,107.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,100.0,356.5292,1,1,0,0.2805,100.0,100.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,100.0,356.5292,1,1,0,0.2805,100.0,100.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,93.0,356.5292,1,1,0,0.2608,93.0,93.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,93.0,356.5292,1,1,0,0.2608,93.0,93.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,93.0,356.5292,1,1,0,0.2608,93.0,93.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,JSS,JSS1,JSS1,84.0,1413.3648,5,3,0,0.0594,16.8,28.0,2,2,2,2,1,3,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,JSS,JSS2,,68.0,0.0,5,2,0,0.0,13.6,34.0,2,2,1,2,1,3,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,JSS,JSS3,,68.0,0.0,5,2,0,0.0,13.6,34.0,2,2,1,2,1,3,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,200.0,342.1103,1,1,0,0.5846,200.0,200.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,193.0,342.1103,1,1,0,0.5641,193.0,193.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,186.0,342.1103,1,1,0,0.5437,186.0,186.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,179.0,342.1103,1,1,0,0.5232,179.0,179.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,179.0,342.1103,1,1,0,0.5232,179.0,179.0,0,0,1,0,0,1,45.67
2024/2025,North Central,Kogi,Ankpa,Ankpa I,"Community Secondary School, Ankpa I",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,179.0,342.1103,1,1,0,0.5232,179.0,179.0,0,0,1,0,0,1,45.67
