session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Adult & Non-Formal Centre, Ago Oko",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Adult & Non-Formal Centre, Ago Oko",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0.0,964.1291,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Adult & Non-Formal Centre, Ago Oko",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Adult & Non-Formal Centre, Ago Oko",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0.0,65.6575,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,115.0,356.5292,8,1,0,0.3226,14.375,115.0,2,1,1,1,1,6,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,111.0,356.5292,7,1,0,0.3113,15.8571,111.0,2,1,1,1,1,6,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,108.0,356.5292,8,1,0,0.3029,13.5,108.0,2,1,1,1,1,6,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,105.0,356.5292,5,1,0,0.2945,21.0,105.0,1,0,1,1,1,4,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,106.0,356.5292,7,1,0,0.2973,15.1429,106.0,2,1,1,1,1,6,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,105.0,356.5292,5,1,0,0.2945,21.0,105.0,1,0,1,1,1,4,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,JSS,JSS1,JSS1,408.0,158.9603,20,7,0,2.5667,20.4,58.2857,4,1,4,3,2,16,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,JSS,JSS2,,339.0,158.9603,12,6,0,2.1326,28.25,56.5,3,1,4,2,1,10,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,JSS,JSS3,,343.0,158.9603,12,6,0,2.1578,28.5833,57.1667,3,1,4,2,1,10,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,269.0,435.4131,14,6,0,0.6178,19.2143,44.8333,3,1,4,2,2,11,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,259.0,418.1348,14,6,0,0.6194,18.5,43.1667,3,1,4,2,2,11,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,251.0,407.7679,10,6,0,0.6155,25.1,41.8333,2,1,4,1,1,8,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,244.0,393.9452,11,5,0,0.6194,22.1818,48.8,2,1,3,2,1,9,33.2
2024/2025,South West,Ogun,Abeokuta North,Ago Oko,"Community Secondary School, Ago Oko",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,245.0,397.4009,11,5,0,0.6165,22.2727,49.0,2,1,3,2,1,9,33.2
