session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Female,all,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Female,all,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Female,disabled,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Female,disabled,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Male,all,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Male,all,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Male,disabled,Private,JSS,JSS1,JSS1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Central Junior Secondary School Alkaleri,Male,disabled,Private,SSS,SSS1,SSS1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Female,all,Private,JSS,JSS1,JSS1,23.0,0.0,1.0,0.0,49.0,0.0,0.0,23.0,0.0,0.44,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Female,all,Private,SSS,SSS1,SSS1,18.0,0.0,1.0,0.0,51.0,1.0,0.0,18.0,0.0,0.54,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Male,all,Private,JSS,JSS1,JSS1,18.0,0.0,1.0,0.0,49.0,0.0,0.0,18.0,0.0,0.54,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,College For Arabic And Higher Islamic Studies Alkaleri,Male,all,Private,SSS,SSS1,SSS1,18.0,0.0,1.0,0.0,51.0,1.0,0.0,18.0,0.0,0.54,0,0,0,0,0
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Federal Low Cost Primary School,Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,1.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,Federal Low Cost Primary School,Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,2.0,1.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,0,0.41,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Female,all,Public,JSS,JSS1,JSS1,2.0,1.0,0.0,0.0,49.0,0.0,2.0,0.0,0.0,0,0.51,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Female,all,Public,SSS,SSS1,SSS1,1.0,1.0,0.0,0.0,51.0,0.0,1.0,0.0,0.0,0,0.57,0.84,0.88,0.63,0.58
2019/2020,North East,Bauchi,Alkaleri,Alkaleri,"Government Day Senior Secondary School, Mainamaji",Female,disabled,Public,JSS,JSS1,JSS1,2.0,1.0,0.0,0.0,49.0,0.0,2.0,0.0,0.0,0,0.51,0.84,0.88,0.63,0.58
