session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North West,Katsina,Daura,Kusugu,"Adult & Non-Formal Centre, Kusugu",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,2818,7.0,299,35,0,402.5714,9.4247,80.5143,228,76,381,238,14,173,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Adult & Non-Formal Centre, Kusugu",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,3579,7.0,299,44,0,511.2857,11.9699,81.3409,228,76,381,238,14,173,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Adult & Non-Formal Centre, Kusugu",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,226,7.0,299,3,0,32.2857,0.7559,75.3333,228,76,381,238,14,173,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Adult & Non-Formal Centre, Kusugu",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,288,7.0,299,4,0,41.1429,0.9632,72.0,228,76,381,238,14,173,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,752,2.314,26,11,0,324.9784,28.9231,68.3636,19,9,15,10,1,7,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,723,2.223,22,10,0,325.2362,32.8636,72.3,8,8,9,13,1,7,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,701,2.158,21,10,0,324.8378,33.381,70.1,15,12,13,8,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,680,2.093,16,10,0,324.8925,42.5,68.0,10,10,9,10,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,685,2.106,17,10,0,325.2612,40.2941,68.5,11,11,10,15,0,6,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,684,2.106,18,10,0,324.7863,38.0,68.4,12,12,10,14,1,9,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,JSS,JSS1,JSS1,431,0.0,9,3,0,0.0,47.8889,143.6667,7,2,8,4,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,JSS,JSS2,,382,0.0,9,3,0,0.0,42.4444,127.3333,7,3,10,5,0,4,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,JSS,JSS3,,374,0.0,8,3,0,0.0,46.75,124.6667,7,5,12,5,0,4,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,1754,1.602,35,45,0,1094.8814,50.1143,38.9778,20,21,33,26,1,13,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,1685,1.539,34,43,0,1094.8668,49.5588,39.186,20,19,30,22,0,15,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,1636,1.494,39,42,0,1095.0469,41.9487,38.9524,18,14,23,11,2,16,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,1587,1.449,34,41,0,1095.2381,46.6765,38.7073,12,19,29,16,1,14,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,1596,1.458,43,41,0,1094.6502,37.1163,38.9268,12,19,19,21,0,17,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,1597,1.458,34,41,0,1095.3361,46.9706,38.9512,26,15,30,23,1,14,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,SSS,SSS1,SSS1,253,0.0,6,1,0,0.0,42.1667,253.0,3,3,7,3,0,1,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,SSS,SSS2,,204,0.0,5,1,0,0.0,40.8,204.0,3,3,8,2,0,3,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,ALL,Public,SSS,SSS3,,206,0.0,4,1,188,0.0,51.5,206.0,4,3,5,2,0,3,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,554,2.314,19,8,0,239.4123,29.1579,69.25,19,9,15,10,1,7,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,533,2.223,16,7,0,239.7661,33.3125,76.1429,8,8,9,13,1,7,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,517,2.158,15,7,0,239.5737,34.4667,73.8571,15,12,13,8,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Private,Pre-Primary/Primary,Primary 4,,502,2.093,12,7,0,239.8471,41.8333,71.7143,10,10,9,10,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Private,Pre-Primary/Primary,Primary 5,,505,2.106,13,7,0,239.7911,38.8462,72.1429,11,11,10,15,0,6,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Private,Pre-Primary/Primary,Primary 6,,505,2.106,13,7,0,239.7911,38.8462,72.1429,12,12,10,14,1,9,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,JSS,JSS1,JSS1,415,0.0,9,3,0,0.0,46.1111,138.3333,7,2,8,4,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,JSS,JSS2,,356,0.0,9,3,0,0.0,39.5556,118.6667,7,3,10,5,0,4,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,JSS,JSS3,,351,0.0,7,3,0,0.0,50.1429,117.0,7,5,12,5,0,4,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,1293,1.602,26,33,0,807.1161,49.7308,39.1818,20,21,33,26,1,13,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,Pre-Primary/Primary,Primary 2,,1243,1.539,25,32,0,807.6673,49.72,38.8438,20,19,30,22,0,15,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,Pre-Primary/Primary,Primary 3,,1206,1.494,29,31,0,807.2289,41.5862,38.9032,18,14,23,11,2,16,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,Pre-Primary/Primary,Primary 4,,1170,1.449,25,30,0,807.4534,46.8,39.0,12,19,29,16,1,14,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,Pre-Primary/Primary,Primary 5,,1177,1.458,32,30,0,807.2702,36.7812,39.2333,12,19,19,21,0,17,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,Pre-Primary/Primary,Primary 6,,1177,1.458,25,30,0,807.2702,47.08,39.2333,26,15,30,23,1,14,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,SSS,SSS1,SSS1,253,0.0,6,1,0,0.0,42.1667,253.0,3,3,7,3,0,1,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,SSS,SSS2,,226,0.0,5,1,0,0.0,45.2,226.0,3,3,8,2,0,3,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Male,ALL,Public,SSS,SSS3,,240,0.0,5,1,218,0.0,48.0,240.0,4,3,5,2,0,3,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,60,2.314,2,1,0,25.9291,30.0,60.0,19,9,15,10,1,7,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Private,Pre-Primary/Primary,Primary 2,,58,2.223,2,1,0,26.0909,29.0,58.0,8,8,9,13,1,7,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Private,Pre-Primary/Primary,Primary 3,,56,2.158,2,1,0,25.95,28.0,56.0,15,12,13,8,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Private,Pre-Primary/Primary,Primary 4,,54,2.093,1,1,0,25.8003,54.0,54.0,10,10,9,10,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Private,Pre-Primary/Primary,Primary 5,,55,2.106,1,1,0,26.1159,55.0,55.0,11,11,10,15,0,6,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Private,Pre-Primary/Primary,Primary 6,,55,2.106,1,1,0,26.1159,55.0,55.0,12,12,10,14,1,9,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,JSS,JSS1,JSS1,34,0.0,1,1,0,0.0,34.0,34.0,7,2,8,4,0,5,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,JSS,JSS2,,30,0.0,1,1,0,0.0,30.0,30.0,7,3,10,5,0,4,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,JSS,JSS3,,30,0.0,1,1,0,0.0,30.0,30.0,7,5,12,5,0,4,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,140,1.602,3,4,0,87.3908,46.6667,35.0,20,21,33,26,1,13,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,Pre-Primary/Primary,Primary 2,,135,1.539,3,3,0,87.7193,45.0,45.0,20,19,30,22,0,15,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,Pre-Primary/Primary,Primary 3,,131,1.494,3,3,0,87.6841,43.6667,43.6667,18,14,23,11,2,16,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,Pre-Primary/Primary,Primary 4,,127,1.449,3,3,0,87.6467,42.3333,42.3333,12,19,29,16,1,14,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,Pre-Primary/Primary,Primary 5,,128,1.458,3,3,0,87.7915,42.6667,42.6667,12,19,19,21,0,17,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,Pre-Primary/Primary,Primary 6,,127,1.458,3,3,0,87.1056,42.3333,42.3333,26,15,30,23,1,14,14.4
2024/2025,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,Disabled,Public,SSS,SSS1,SSS1,20,0.0,1,1,0,0.0,20.0,20.0,3,3,7,3,0,1,14.4
