session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,South East,Anambra,Awka North,Achalla  I,"Adult & Non-Formal Centre, Achalla  I",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Adult & Non-Formal Centre, Achalla  I",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Adult & Non-Formal Centre, Achalla  I",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Adult & Non-Formal Centre, Achalla  I",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,457,1.78,14,3,0,256.7416,32.6429,152.3333,20,5,29,11,0,4,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,439,1.71,15,3,0,256.7251,29.2667,146.3333,19,5,28,9,1,6,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,426,1.66,19,3,0,256.6265,22.4211,142.0,18,6,21,15,0,5,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,413,1.61,14,3,0,256.5217,29.5,137.6667,14,5,17,9,0,3,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,416,1.62,18,3,0,256.7901,23.1111,138.6667,16,4,21,9,1,4,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,415,1.62,15,3,0,256.1728,27.6667,138.3333,17,4,27,6,0,5,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Public,JSS,JSS1,JSS1,444,0.0,10,2,0,0.0,44.4,222.0,9,3,21,3,0,3,14.4
2024/2025,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,Public,JSS,JSS2,,403,0.0,11,2,0,0.0,36.6364,201.5,9,2,14,3,0,2,14.4
