session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,North West,Kano,Dala,Adakawa,"Adult & Non-Formal Centre, Adakawa",Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,971.0,964.1291,116,37,0,1.0071,8.3707,26.2432,77,42,28,67,62,29,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Adult & Non-Formal Centre, Adakawa",Male,ALL,Public,Adult & Non-Formal,IQS/IQTE,,300.0,964.1291,116,47,0,0.3112,2.5862,6.383,77,42,36,67,62,29,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Adult & Non-Formal Centre, Adakawa",Female,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,64.0,65.6575,116,3,0,0.9748,0.5517,21.3333,77,42,2,67,62,29,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Adult & Non-Formal Centre, Adakawa",Male,Disabled,Public,Adult & Non-Formal,IQS/IQTE,,20.0,65.6575,116,4,0,0.3046,0.1724,5.0,77,42,3,67,62,29,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1966.0,378.3575,35,9,0,5.1961,56.1714,218.4444,23,13,7,20,19,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Private,Pre-Primary/Primary,Primary 2,,1890.0,363.8053,46,9,0,5.1951,41.087,210.0,31,17,7,27,25,12,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Private,Pre-Primary/Primary,Primary 3,,1833.0,352.8911,37,9,0,5.1942,49.5405,203.6667,25,13,7,21,20,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Private,Pre-Primary/Primary,Primary 4,,1779.0,341.9769,40,9,0,5.2021,44.475,197.6667,27,14,7,23,21,10,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Private,Pre-Primary/Primary,Primary 5,,1790.0,341.9769,36,9,0,5.2343,49.7222,198.8889,24,13,7,21,19,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Private,Pre-Primary/Primary,Primary 6,,1790.0,341.9769,44,9,0,5.2343,40.6818,198.8889,29,16,7,25,24,11,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,JSS,JSS1,JSS1,1737.0,158.9603,35,14,0,10.9273,49.6286,124.0714,23,13,11,20,19,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,JSS,JSS2,,1567.0,158.9603,25,13,0,9.8578,62.68,120.5385,17,9,10,14,13,6,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,JSS,JSS3,,1450.0,158.9603,30,12,0,9.1218,48.3333,120.8333,20,11,9,17,16,8,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,4587.0,362.8443,87,35,0,12.6418,52.7241,131.0571,58,31,27,50,47,22,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,Pre-Primary/Primary,Primary 2,,4407.0,345.566,89,33,0,12.753,49.5169,133.5455,59,32,25,51,48,23,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,Pre-Primary/Primary,Primary 3,,4278.0,338.6547,77,32,0,12.6323,55.5584,133.6875,51,28,24,44,41,20,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,Pre-Primary/Primary,Primary 4,,4149.0,328.2877,66,31,0,12.6383,62.8636,133.8387,44,24,24,38,35,17,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,Pre-Primary/Primary,Primary 5,,4174.0,328.2877,87,31,0,12.7145,47.977,134.6452,58,31,24,50,47,22,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,Pre-Primary/Primary,Primary 6,,4174.0,328.2877,80,31,0,12.7145,52.175,134.6452,53,29,24,46,43,20,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,SSS,SSS1,SSS1,1406.0,110.5811,27,9,0,12.7147,52.0741,156.2222,18,10,7,16,14,7,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,SSS,SSS2,,1095.0,55.2906,18,7,0,19.8045,60.8333,156.4286,12,7,5,10,10,5,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,ALL,Public,SSS,SSS3,,1230.0,55.2906,31,8,1080,22.2461,39.6774,153.75,21,11,6,18,17,8,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,1822.0,378.3575,32,9,0,4.8156,56.9375,202.4444,21,12,7,18,17,8,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Private,Pre-Primary/Primary,Primary 2,,1751.0,363.8053,42,8,0,4.813,41.6905,218.875,28,15,6,24,23,11,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Private,Pre-Primary/Primary,Primary 3,,1700.0,352.8911,34,8,0,4.8174,50.0,212.5,23,12,6,20,18,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Private,Pre-Primary/Primary,Primary 4,,1647.0,341.9769,37,8,0,4.8161,44.5135,205.875,25,13,6,21,20,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Private,Pre-Primary/Primary,Primary 5,,1658.0,341.9769,34,8,0,4.8483,48.7647,207.25,23,12,6,20,18,9,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Private,Pre-Primary/Primary,Primary 6,,1658.0,341.9769,41,8,0,4.8483,40.439,207.25,27,15,6,24,22,10,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,JSS,JSS1,JSS1,1437.0,158.9603,30,12,0,9.04,47.9,119.75,20,11,9,17,16,8,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,JSS,JSS2,,1219.0,158.9603,20,10,0,7.6686,60.95,121.9,13,7,8,12,11,5,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,JSS,JSS3,,1089.0,158.9603,24,9,0,6.8508,45.375,121.0,16,9,7,14,13,6,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,4250.0,362.8443,81,32,0,11.713,52.4691,132.8125,54,29,24,47,43,21,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,Pre-Primary/Primary,Primary 2,,4083.0,345.566,82,31,0,11.8154,49.7927,131.7097,55,30,24,47,44,21,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,Pre-Primary/Primary,Primary 3,,3964.0,338.6547,71,30,0,11.7051,55.831,132.1333,47,26,23,41,38,18,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,Pre-Primary/Primary,Primary 4,,3844.0,328.2877,61,29,0,11.7092,63.0164,132.5517,41,22,22,35,33,15,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,Pre-Primary/Primary,Primary 5,,3869.0,328.2877,80,29,0,11.7854,48.3625,133.4138,53,29,22,46,43,20,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,Pre-Primary/Primary,Primary 6,,3868.0,328.2877,75,29,0,11.7823,51.5733,133.3793,50,27,22,43,40,19,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,SSS,SSS1,SSS1,1149.0,110.5811,23,8,0,10.3906,49.9565,143.625,15,8,6,13,12,6,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,SSS,SSS2,,919.0,55.2906,16,6,0,16.6213,57.4375,153.1667,11,6,5,9,9,4,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Male,ALL,Public,SSS,SSS3,,1079.0,55.2906,29,8,993,19.5151,37.2069,134.875,19,10,6,17,16,7,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,128.0,25.4664,3,1,0,5.0262,42.6667,128.0,2,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Private,Pre-Primary/Primary,Primary 2,,123.0,25.4664,4,1,0,4.8299,30.75,123.0,3,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Private,Pre-Primary/Primary,Primary 3,,119.0,21.8283,3,1,0,5.4516,39.6667,119.0,2,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Private,Pre-Primary/Primary,Primary 4,,116.0,21.8283,3,1,0,5.3142,38.6667,116.0,2,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Private,Pre-Primary/Primary,Primary 5,,116.0,21.8283,3,1,0,5.3142,38.6667,116.0,2,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Private,Pre-Primary/Primary,Primary 6,,117.0,21.8283,4,1,0,5.36,29.25,117.0,3,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,JSS,JSS1,JSS1,113.0,10.367,3,1,0,10.9,37.6667,113.0,2,1,1,2,2,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,JSS,JSS2,,101.0,10.367,2,1,0,9.7425,50.5,101.0,1,1,1,1,1,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,JSS,JSS3,,94.0,10.367,2,1,0,9.0672,47.0,94.0,1,1,1,1,1,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,298.0,24.1896,7,3,0,12.3193,42.5714,99.3333,5,3,2,4,4,2,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 2,,286.0,24.1896,7,3,0,11.8233,40.8571,95.3333,5,3,2,4,4,2,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 3,,277.0,20.734,6,3,0,13.3597,46.1667,92.3333,4,2,2,3,3,2,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 4,,270.0,20.734,5,2,0,13.0221,54.0,135.0,3,2,2,3,3,1,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 5,,272.0,20.734,7,3,0,13.1185,38.8571,90.6667,5,3,2,4,4,2,52.57
2024/2025,North West,Kano,Dala,Adakawa,"Community Secondary School, Adakawa",Female,Disabled,Public,Pre-Primary/Primary,Primary 6,,271.0,20.734,6,3,0,13.0703,45.1667,90.3333,4,2,2,3,3,2,52.57
