session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,436,1308,946,396,364,20,0,362,550,32,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,198,594,430,180,165,9,0,164,250,15,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,158,476,344,144,132,7,0,132,200,12,1.8
2022/2023,Female,ALL,NECO,University,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,204,612,443,185,170,9,0,169,258,15,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,93,278,201,84,77,4,0,77,117,7,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,74,222,161,67,62,3,0,61,94,5,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,63,190,137,58,53,3,0,53,79,5,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,29,86,62,26,24,1,0,24,36,2,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,23,69,50,21,19,1,0,19,29,2,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,28,85,62,26,24,1,0,23,36,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,13,39,28,12,11,1,0,11,16,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,10,31,22,9,9,0,0,9,13,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,13,40,29,12,11,1,0,11,17,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,6,18,13,5,5,0,0,5,8,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,5,14,10,4,4,0,0,4,6,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,4,12,9,4,3,0,0,3,5,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,248,744,538,225,207,11,0,206,313,18,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,113,338,245,102,94,5,0,93,143,8,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,90,271,196,82,75,4,0,75,114,7,1.8
2022/2023,Female,ALL,NECO,University,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,116,348,252,105,97,5,0,96,147,8,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,53,158,114,48,44,2,0,44,66,4,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,42,127,92,38,35,2,0,35,54,3,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,36,108,78,33,30,2,0,30,45,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,16,49,36,15,14,1,0,13,21,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,13,39,28,12,11,1,0,11,16,1,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,16,48,35,15,13,1,0,13,20,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,7,22,16,7,6,0,0,6,9,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,6,18,13,5,5,0,0,5,8,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,8,23,16,7,6,0,0,7,9,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,3,8,6,2,2,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,234,702,508,213,196,11,0,194,295,17,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,106,319,231,97,89,5,0,88,134,8,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,85,255,185,78,71,4,0,70,107,7,1.8
2022/2023,Female,ALL,NECO,University,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,110,329,238,100,92,5,0,91,138,8,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,50,149,108,45,42,2,0,41,63,3,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,40,119,86,36,33,2,0,33,50,3,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,34,102,74,31,28,2,0,28,43,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,15,46,34,14,13,1,0,12,20,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,12,37,27,11,10,1,0,10,16,1,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,15,46,33,14,13,1,0,13,19,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,7,21,15,6,6,0,0,6,9,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,6,17,12,5,5,0,0,5,7,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,7,21,15,6,6,0,0,6,9,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,3,10,7,3,3,0,0,3,4,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,3,8,6,2,2,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,2,7,5,2,2,0,0,2,3,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Bare-Bare/Bauya/Lalai Dumbulwa,North East,Yobe,Potiskum,Bare-Bare/Bauya/Lalai Dumbulwa,,401,1205,872,365,335,18,0,333,507,30,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Bare-Bare/Bauya/Lalai Dumbulwa,North East,Yobe,Potiskum,Bare-Bare/Bauya/Lalai Dumbulwa,,182,548,396,166,152,8,0,152,230,14,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Bare-Bare/Bauya/Lalai Dumbulwa,North East,Yobe,Potiskum,Bare-Bare/Bauya/Lalai Dumbulwa,,146,438,317,133,122,7,0,121,184,11,1.8
