session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,ward,Galadima,North West,Zamfara,Gusau,Galadima,,152,457,331,138,128,7,0,126,193,10,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Galadima,North West,Zamfara,Gusau,Galadima,,69,208,150,63,58,3,0,58,87,5,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Galadima,North West,Zamfara,Gusau,Galadima,,55,166,120,50,46,3,0,46,70,4,1.8
2022/2023,Female,ALL,NECO,University,ward,Galadima,North West,Zamfara,Gusau,Galadima,,71,214,155,65,60,3,0,59,90,5,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Galadima,North West,Zamfara,Gusau,Galadima,,32,97,70,29,27,1,0,27,41,2,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Galadima,North West,Zamfara,Gusau,Galadima,,26,78,56,24,22,1,0,22,32,2,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Galadima,North West,Zamfara,Gusau,Galadima,,22,66,48,20,19,1,0,18,28,1,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Galadima,North West,Zamfara,Gusau,Galadima,,10,30,22,9,8,0,0,8,13,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Galadima,North West,Zamfara,Gusau,Galadima,,8,24,17,7,7,0,0,7,10,0,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Galadima,North West,Zamfara,Gusau,Galadima,,10,30,22,9,8,0,0,8,13,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Galadima,North West,Zamfara,Gusau,Galadima,,5,14,10,4,4,0,0,4,6,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Galadima,North West,Zamfara,Gusau,Galadima,,4,11,8,3,3,0,0,3,5,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Galadima,North West,Zamfara,Gusau,Galadima,,5,14,10,4,4,0,0,4,6,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Galadima,North West,Zamfara,Gusau,Galadima,,2,6,5,2,2,0,0,1,3,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Galadima,North West,Zamfara,Gusau,Galadima,,2,5,4,2,1,0,0,1,2,1,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Galadima,North West,Zamfara,Gusau,Galadima,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Galadima,North West,Zamfara,Gusau,Galadima,,1,2,1,1,1,0,0,1,0,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Galadima,North West,Zamfara,Gusau,Galadima,,1,2,1,0,0,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Mada,North West,Zamfara,Gusau,Mada,,217,651,471,197,181,10,0,180,274,16,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Mada,North West,Zamfara,Gusau,Mada,,99,296,214,90,82,5,0,82,124,8,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Mada,North West,Zamfara,Gusau,Mada,,79,237,171,72,66,4,0,66,99,6,1.8
2022/2023,Female,ALL,NECO,University,ward,Mada,North West,Zamfara,Gusau,Mada,,101,304,220,92,85,5,0,84,128,7,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Mada,North West,Zamfara,Gusau,Mada,,46,138,100,42,38,2,0,38,58,4,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Mada,North West,Zamfara,Gusau,Mada,,37,111,80,34,31,2,0,31,46,3,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Mada,North West,Zamfara,Gusau,Mada,,31,94,68,29,26,1,0,26,39,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Mada,North West,Zamfara,Gusau,Mada,,14,43,31,13,12,1,0,12,18,1,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Mada,North West,Zamfara,Gusau,Mada,,11,34,25,10,10,1,0,9,15,0,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Mada,North West,Zamfara,Gusau,Mada,,14,42,31,13,12,1,0,11,18,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Mada,North West,Zamfara,Gusau,Mada,,6,19,14,6,5,0,0,5,8,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Mada,North West,Zamfara,Gusau,Mada,,5,15,11,5,4,0,0,4,6,1,1.8
