session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,2,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,1,2,1,0,0,0,0,1,1,0,1.8
2022/2023,Female,ALL,NECO,University,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,1,0,0,0,0,0,1,0,0,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Five,South South,Cross River,Calabar Municipal,Five,,2,6,5,2,2,0,0,1,3,0,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Five,South South,Cross River,Calabar Municipal,Five,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Five,South South,Cross River,Calabar Municipal,Five,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,University,ward,Five,South South,Cross River,Calabar Municipal,Five,,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Four,South South,Cross River,Calabar Municipal,Four,,2,5,4,2,1,0,0,1,2,1,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Four,South South,Cross River,Calabar Municipal,Four,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Four,South South,Cross River,Calabar Municipal,Four,,1,2,1,1,0,0,0,1,0,1,1.8
2022/2023,Female,ALL,NECO,University,ward,Four,South South,Cross River,Calabar Municipal,Four,,1,2,2,1,1,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,University,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,2,6,4,2,2,0,0,2,2,0,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,1,2,1,1,1,0,0,1,0,0,1.8
2022/2023,Female,ALL,NECO,University,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,1,3,2,1,1,0,0,1,1,0,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,1,1,0,0,0,0,0,1,0,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,0,0,0,0,0,0,0,0,0,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,0,0,0,0,0,0,0,0,0,1.8
