session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,653,1959,1418,594,546,30,0,541,824,48,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,297,891,644,270,248,14,0,247,374,22,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,238,713,516,216,198,11,0,197,300,18,1.8
2022/2023,Female,ALL,NECO,University,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,306,916,663,278,255,14,0,253,385,23,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,139,417,301,126,116,6,0,116,175,10,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,111,333,241,101,93,5,0,92,140,8,1.8
2022/2023,Female,ALL,NABTEB,University,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,95,284,206,86,79,4,0,78,120,7,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,43,129,94,39,36,2,0,35,55,3,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,34,103,75,31,29,2,0,28,44,2,1.8
2022/2023,Female,Disabled,WAEC,University,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,42,127,92,39,35,2,0,35,53,4,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,19,58,42,18,16,1,0,16,24,2,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,15,46,34,14,13,1,0,12,20,1,1.8
2022/2023,Female,Disabled,NECO,University,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,20,60,43,18,17,1,0,17,25,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,9,27,20,8,8,0,0,7,12,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,7,22,16,7,6,0,0,6,9,1,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,6,18,13,6,5,0,0,5,7,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,"Ward III, N4",South West,Oyo,Ibadan North,"Ward III, N4",,3,8,6,3,2,0,0,2,3,1,1.8
