session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,ALL,WAEC,University,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,425,1276,923,387,355,20,0,353,536,32,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,193,580,420,176,162,9,0,160,244,14,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,155,464,336,141,129,7,0,128,195,12,1.8
2022/2023,Female,ALL,NECO,University,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,199,597,432,181,166,9,0,165,251,15,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,90,271,196,82,76,4,0,75,114,6,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,72,217,157,66,60,3,0,60,91,6,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,62,185,134,56,52,3,0,51,78,4,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,28,84,61,26,23,1,0,23,35,3,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,22,67,49,20,19,1,0,18,29,1,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,28,83,60,25,23,1,0,23,35,2,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,13,38,27,11,10,1,0,11,16,1,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,10,30,22,9,8,0,0,8,13,1,1.8
2022/2023,Female,Disabled,NECO,University,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,13,39,28,12,11,1,0,11,16,1,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,6,18,13,5,5,0,0,5,8,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,5,14,10,4,4,0,0,4,6,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,4,12,9,4,3,0,0,3,5,1,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,2,5,4,2,2,0,0,1,2,0,1.8
2022/2023,Female,Disabled,NABTEB,College of Education,ward,Bolori I,North East,Borno,Maiduguri,Bolori I,,1,4,3,1,1,0,0,1,2,0,1.8
2022/2023,Female,ALL,WAEC,University,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,226,679,491,206,189,10,0,188,285,17,1.8
2022/2023,Female,ALL,WAEC,Polytechnic,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,103,309,223,94,86,5,0,86,129,8,1.8
2022/2023,Female,ALL,WAEC,College of Education,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,82,247,179,75,69,4,0,68,104,6,1.8
2022/2023,Female,ALL,NECO,University,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,106,318,230,96,89,5,0,88,134,7,1.8
2022/2023,Female,ALL,NECO,Polytechnic,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,48,144,104,44,40,2,0,40,60,4,1.8
2022/2023,Female,ALL,NECO,College of Education,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,39,115,84,35,32,2,0,31,49,3,1.8
2022/2023,Female,ALL,NABTEB,University,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,33,99,71,30,27,1,0,28,41,3,1.8
2022/2023,Female,ALL,NABTEB,Polytechnic,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,15,45,32,14,12,1,0,13,18,2,1.8
2022/2023,Female,ALL,NABTEB,College of Education,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,12,36,26,11,10,1,0,10,15,1,1.8
2022/2023,Female,Disabled,WAEC,University,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,15,44,32,13,12,1,0,12,19,1,1.8
2022/2023,Female,Disabled,WAEC,Polytechnic,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,7,20,15,6,6,0,0,5,9,0,1.8
2022/2023,Female,Disabled,WAEC,College of Education,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,5,16,12,5,4,0,0,4,7,1,1.8
2022/2023,Female,Disabled,NECO,University,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,7,21,15,6,6,0,0,6,9,0,1.8
2022/2023,Female,Disabled,NECO,Polytechnic,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,3,9,7,3,3,0,0,2,4,0,1.8
2022/2023,Female,Disabled,NECO,College of Education,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,3,8,5,2,2,0,0,3,3,0,1.8
2022/2023,Female,Disabled,NABTEB,University,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,2,6,5,2,2,0,0,1,3,0,1.8
2022/2023,Female,Disabled,NABTEB,Polytechnic,ward,Bolori II,North East,Borno,Maiduguri,Bolori II,,1,3,2,1,1,0,0,1,1,0,1.8
