session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,ALL,NABTEB,16,13,20,16,8,7,74.2857,34.1463,34.1463,85.7143
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,ALL,NECO,26,19,32,26,14,13,66.0714,35.3846,35.3846,95.6522
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,ALL,WAEC,37,30,50,40,23,21,71.9512,35.2941,37.2549,92.1053
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,Disabled,NABTEB,1,1,1,1,1,1,66.6667,33.3333,66.6667,50.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,Disabled,NECO,2,2,3,2,1,1,75.0,33.3333,33.3333,50.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,Disabled,WAEC,3,2,3,3,1,0,66.6667,42.8571,14.2857,0.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,ALL,NABTEB,18,15,25,19,13,12,74.359,34.0,42.0,95.2381
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,ALL,NECO,28,21,34,27,15,13,67.2131,34.2857,35.7143,88.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,ALL,WAEC,41,32,51,40,25,22,71.9101,34.6154,39.4231,90.2439
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,Disabled,NABTEB,2,2,2,1,1,1,75.0,25.0,50.0,50.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,Disabled,NECO,2,2,3,3,1,1,60.0,42.8571,28.5714,50.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,Disabled,WAEC,3,3,3,2,1,1,71.4286,28.5714,28.5714,50.0
2022/2023,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,ALL,NABTEB,16,14,21,17,8,7,75.0,35.7143,33.3333,85.7143
