session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,NABTEB,15,13,18,16,21,18,77.7778,40.0,95.0,84.2105
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,NECO,28,21,38,33,33,29,67.6471,38.0952,71.4286,86.6667
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,ALL,WAEC,38,31,49,43,50,46,73.913,38.1818,83.6364,91.3043
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,Disabled,NABTEB,2,2,2,2,2,1,100.0,50.0,100.0,50.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,Disabled,NECO,2,2,4,4,2,1,66.6667,50.0,50.0,50.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,Disabled,WAEC,2,2,4,2,2,1,66.6667,25.0,50.0,50.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,ALL,NABTEB,12,10,15,12,22,21,73.3333,35.2941,117.6471,95.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,ALL,NECO,19,15,24,20,37,36,69.5652,37.037,125.9259,97.0588
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,ALL,WAEC,31,26,39,35,60,58,75.6757,38.6364,125.0,96.3636
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,Disabled,NABTEB,1,1,1,0,2,1,100.0,0.0,200.0,50.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,Disabled,NECO,2,1,2,2,2,1,50.0,50.0,100.0,50.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Male,Disabled,WAEC,2,2,4,2,4,3,66.6667,25.0,100.0,75.0
2022/2023,South East,Ebonyi,Abakaliki,Abakpa,"Comprehensive High School, Abakpa",Female,ALL,NABTEB,11,9,13,10,10,9,76.9231,35.7143,64.2857,88.8889
