session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,NABTEB,14,11,18,15,7,6,75.0,37.5,33.3333,87.5
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,NECO,24,18,31,25,15,14,65.7143,35.7143,40.4762,88.2353
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,ALL,WAEC,29,23,35,29,16,16,69.7674,36.1702,38.2979,94.4444
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Disabled,NABTEB,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Disabled,NECO,2,2,3,3,3,2,66.6667,50.0,75.0,66.6667
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Female,Disabled,WAEC,3,2,4,3,2,1,75.0,40.0,40.0,50.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,NABTEB,12,10,14,12,5,4,72.2222,36.8421,26.3158,80.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,NECO,21,15,26,22,14,11,64.5161,37.1429,42.8571,80.0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,ALL,WAEC,27,21,32,27,15,14,69.2308,37.2093,39.5349,88.2353
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,Disabled,NABTEB,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,Disabled,NECO,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North East,Yobe,Bade,Dagona,"Community Secondary School, Dagona",Male,Disabled,WAEC,2,2,3,3,0,0,66.6667,50.0,0.0,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,ALL,NABTEB,21,17,25,20,7,6,70.9677,35.2941,23.5294,87.5
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,ALL,NECO,42,31,51,41,19,17,65.5738,35.2941,30.8824,90.4762
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,ALL,WAEC,60,47,75,61,31,27,69.3182,36.0,34.0,88.2353
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,Disabled,NABTEB,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,Disabled,NECO,3,2,4,3,0,0,60.0,33.3333,0.0,0
2022/2023,North East,Yobe,Bade,Dagona,"Comprehensive High School, Dagona",Female,Disabled,WAEC,5,4,6,5,2,1,71.4286,37.5,25.0,50.0
