session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NABTEB,21,18,27,23,16,13,76.6667,37.1429,48.5714,82.3529
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,NECO,39,30,48,40,32,29,69.0909,36.5079,53.9683,91.1765
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,ALL,WAEC,53,43,64,54,39,36,73.3333,36.9048,50.0,90.4762
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NABTEB,2,2,2,2,2,1,66.6667,33.3333,66.6667,50.0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,NECO,3,2,4,3,2,1,75.0,40.0,40.0,50.0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,Disabled,WAEC,5,4,5,3,4,3,71.4286,28.5714,57.1429,75.0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NABTEB,29,24,33,28,16,13,75.6098,37.2093,39.5349,82.3529
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,NECO,46,35,57,49,27,26,67.6923,37.3333,38.6667,96.5517
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,ALL,WAEC,63,52,79,68,36,35,74.1573,37.5,37.5,94.8718
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NABTEB,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,NECO,4,3,6,5,2,1,66.6667,37.5,25.0,50.0
2022/2023,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,Disabled,WAEC,6,5,7,7,2,1,75.0,44.4444,22.2222,50.0
