session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NABTEB,26,20,30,27,41,37,69.5652,40.0,112.0,89.2857
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,NECO,40,28,46,38,59,53,63.8889,36.8421,105.2632,90.0
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,ALL,WAEC,61,47,75,63,95,85,69.0909,37.0968,104.8387,89.2308
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,Disabled,NABTEB,2,1,2,3,4,3,50.0,50.0,150.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,Disabled,NECO,3,2,4,3,4,3,66.6667,33.3333,100.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Female,Disabled,WAEC,4,4,5,3,4,3,75.0,25.0,75.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,ALL,NABTEB,22,17,26,22,45,40,70.0,36.3636,140.9091,87.0968
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,ALL,NECO,40,28,50,44,69,60,63.8889,38.0952,111.9048,87.234
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,ALL,WAEC,55,42,69,57,100,90,68.0,36.8421,119.2982,89.7059
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,Disabled,NABTEB,1,1,1,0,6,4,100.0,0.0,400.0,75.0
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,Disabled,NECO,3,2,4,3,4,3,66.6667,33.3333,100.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Community Secondary School, Barakin Ladi",Male,Disabled,WAEC,4,4,5,3,4,3,75.0,25.0,75.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,ALL,NABTEB,13,10,16,14,28,22,66.6667,38.4615,146.1538,78.9474
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,ALL,NECO,23,16,29,25,41,38,61.9048,37.5,116.6667,92.8571
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,ALL,WAEC,31,23,38,33,53,52,67.8571,37.5,112.5,97.2222
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,Disabled,NABTEB,2,1,2,3,4,3,50.0,50.0,150.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,Disabled,NECO,2,1,2,3,4,3,50.0,50.0,150.0,66.6667
2022/2023,North Central,Plateau,Barkin Ladi,Barakin Ladi,"Comprehensive High School, Barakin Ladi",Female,Disabled,WAEC,2,1,2,3,4,3,50.0,50.0,150.0,66.6667
