session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,NABTEB,0,0,0,0,120,103,0,0,0,85.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,NECO,0,0,0,0,229,206,0,0,0,89.4737
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,ALL,WAEC,0,0,0,0,226,212,0,0,0,93.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Disabled,NABTEB,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Disabled,NECO,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Female,Disabled,WAEC,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,ALL,NABTEB,0,0,0,0,132,118,0,0,0,88.6364
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,ALL,NECO,0,0,0,0,259,227,0,0,0,87.2093
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,ALL,WAEC,0,0,2,0,346,321,0,0.0,11500.0,92.1739
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Disabled,NABTEB,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Disabled,NECO,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Community Secondary School, Achalla  I",Male,Disabled,WAEC,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,ALL,NABTEB,0,0,0,0,120,109,0,0,0,90.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,ALL,NECO,0,0,0,0,211,185,0,0,0,87.1429
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,ALL,WAEC,0,0,0,0,334,321,0,0,0,95.4955
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Disabled,NABTEB,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Disabled,NECO,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Female,Disabled,WAEC,0,0,0,0,27,24,0,0,0,88.8889
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,ALL,NABTEB,0,0,0,0,111,94,0,0,0,83.7838
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,ALL,NECO,0,0,0,0,259,227,0,0,0,87.2093
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,ALL,WAEC,0,0,0,0,307,281,0,0,0,91.1765
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Disabled,NABTEB,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Disabled,NECO,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Comprehensive High School, Achalla  I",Male,Disabled,WAEC,0,0,0,0,30,27,0,0,0,90.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,ALL,NABTEB,0,0,0,0,138,127,0,0,0,91.3043
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,ALL,NECO,0,0,0,0,229,206,0,0,0,89.4737
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,ALL,WAEC,0,0,0,0,304,281,0,0,0,92.0792
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Disabled,NABTEB,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Disabled,NECO,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Female,Disabled,WAEC,0,0,0,0,12,9,0,0,0,75.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,ALL,NABTEB,0,0,0,0,111,94,0,0,0,83.7838
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,ALL,NECO,0,0,0,0,277,248,0,0,0,89.1304
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,ALL,WAEC,0,0,0,0,382,357,0,0,0,92.9134
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,Disabled,NABTEB,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,Disabled,NECO,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Government Secondary School, Achalla  I",Male,Disabled,WAEC,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,ALL,NABTEB,0,0,0,0,78,61,0,0,0,76.9231
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,ALL,NECO,0,0,0,0,211,185,0,0,0,87.1429
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,ALL,WAEC,0,0,0,0,220,212,0,0,0,95.8904
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,Disabled,NABTEB,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,Disabled,NECO,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Female,Disabled,WAEC,0,0,0,0,12,9,0,0,0,75.0
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,ALL,NABTEB,0,0,0,0,111,94,0,0,0,83.7838
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,ALL,NECO,0,0,0,0,193,185,0,0,0,95.3125
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,ALL,WAEC,0,0,0,0,235,221,0,0,0,93.5897
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,Disabled,NABTEB,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,Disabled,NECO,0,0,0,0,18,15,0,0,0,83.3333
2022/2023,South East,Anambra,Awka North,Achalla  I,"Unity College, Awka North",Male,Disabled,WAEC,0,0,0,0,15,12,0,0,0,80.0
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,ALL,NABTEB,0,0,0,0,138,130,0,0,0,93.4783
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,ALL,NECO,0,0,0,0,289,248,0,0,0,85.4167
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,ALL,WAEC,0,0,0,0,355,333,0,0,0,93.2203
2022/2023,South East,Anambra,Awka North,Achalla  II,"Community Secondary School, Achalla  II",Female,Disabled,NABTEB,0,0,0,0,15,12,0,0,0,80.0
