session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,NABTEB,25,20,30,24,5,4,71.4286,35.0,12.5,80.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,NECO,48,33,61,48,7,7,61.7647,35.0,10.0,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,ALL,WAEC,64,48,78,62,10,9,67.033,34.9515,10.6796,90.9091
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,Disabled,NABTEB,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,Disabled,NECO,3,2,4,3,1,0,75.0,40.0,20.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Female,Disabled,WAEC,4,3,5,3,1,0,66.6667,28.5714,14.2857,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,ALL,NABTEB,45,35,56,45,4,3,70.3125,35.1351,5.4054,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,ALL,NECO,86,59,107,85,9,8,62.2951,34.7518,7.0922,90.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,ALL,WAEC,112,84,129,102,9,8,67.7215,34.9112,5.9172,90.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,Disabled,NABTEB,3,2,3,3,0,0,75.0,50.0,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,Disabled,NECO,6,5,8,5,1,0,66.6667,30.0,10.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Community Secondary School, Bingi North",Male,Disabled,WAEC,8,5,10,7,1,0,63.6364,30.7692,7.6923,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,ALL,NABTEB,17,13,21,17,4,3,70.8333,37.037,14.8148,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,ALL,NECO,25,17,31,24,6,5,62.8571,34.1463,14.6341,83.3333
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,ALL,WAEC,36,27,44,35,7,7,66.6667,34.4828,13.7931,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,Disabled,NABTEB,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,Disabled,NECO,2,2,3,2,1,0,66.6667,25.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Female,Disabled,WAEC,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Male,ALL,NABTEB,29,22,35,28,4,3,68.2927,34.7826,8.6957,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Male,ALL,NECO,45,31,58,47,5,4,63.4921,35.5263,6.5789,80.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Male,ALL,WAEC,55,41,70,55,7,7,66.6667,34.7826,8.6957,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Male,Disabled,NABTEB,3,2,3,3,1,0,75.0,50.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Male,Disabled,NECO,4,2,5,3,1,0,60.0,33.3333,16.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Comprehensive High School, Bingi North",Male,Disabled,WAEC,4,2,5,3,1,0,60.0,33.3333,16.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Female,ALL,NABTEB,28,21,35,28,6,5,69.2308,34.7826,13.0435,83.3333
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Female,ALL,NECO,56,38,68,54,9,8,62.0253,34.8315,11.236,90.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Female,ALL,WAEC,69,51,82,66,11,10,67.0103,35.1852,11.1111,91.6667
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Female,Disabled,NABTEB,3,2,3,3,1,0,75.0,50.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Female,Disabled,NECO,4,3,5,3,1,0,66.6667,33.3333,16.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Female,Disabled,WAEC,6,4,8,7,1,0,62.5,40.0,10.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Male,ALL,NABTEB,48,37,65,52,6,6,70.5882,35.2941,8.2353,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Male,ALL,NECO,88,61,103,83,9,8,62.9032,35.5556,7.4074,90.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Male,ALL,WAEC,103,77,125,98,11,10,67.8082,34.7561,7.3171,91.6667
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Male,Disabled,NABTEB,4,2,5,5,1,0,60.0,42.8571,14.2857,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Male,Disabled,NECO,8,5,9,7,1,0,63.6364,33.3333,8.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Government Secondary School, Bingi North",Male,Disabled,WAEC,9,7,11,9,1,0,69.2308,33.3333,6.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Female,ALL,NABTEB,28,22,34,28,4,3,70.0,35.5556,8.8889,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Female,ALL,NECO,50,34,60,47,6,6,62.8571,34.1772,8.8608,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Female,ALL,WAEC,57,42,67,54,7,7,66.6667,35.2273,9.0909,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Female,Disabled,NABTEB,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Female,Disabled,NECO,4,2,5,3,0,0,60.0,33.3333,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Female,Disabled,WAEC,4,3,6,5,1,0,66.6667,37.5,12.5,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Male,ALL,NABTEB,48,37,62,50,6,5,70.5882,35.8025,7.4074,83.3333
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Male,ALL,NECO,85,59,95,74,5,4,62.5,34.4,4.0,80.0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Male,ALL,WAEC,102,76,123,98,7,7,67.3611,35.1852,4.9383,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Male,Disabled,NABTEB,3,2,3,3,0,0,75.0,50.0,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Male,Disabled,NECO,6,4,6,5,0,0,62.5,37.5,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bingi North,"Unity College, Bungudu",Male,Disabled,WAEC,8,6,10,7,1,0,66.6667,30.7692,7.6923,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Female,ALL,NABTEB,13,10,17,14,4,3,68.4211,36.3636,18.1818,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Female,ALL,NECO,21,15,27,21,4,3,63.3333,34.2857,11.4286,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Female,ALL,WAEC,28,20,33,28,6,5,66.6667,36.3636,13.6364,83.3333
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Female,Disabled,NABTEB,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Female,Disabled,NECO,2,2,3,2,1,0,66.6667,25.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Female,Disabled,WAEC,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Male,ALL,NABTEB,25,19,30,24,3,2,68.5714,35.0,7.5,66.6667
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Male,ALL,NECO,38,27,49,40,5,4,62.963,35.3846,7.6923,80.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Male,ALL,WAEC,54,40,68,55,6,6,66.2338,35.5556,7.7778,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Male,Disabled,NABTEB,3,2,3,3,1,0,75.0,50.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Male,Disabled,NECO,4,2,5,3,1,0,60.0,33.3333,16.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Community Secondary School, Bingi South",Male,Disabled,WAEC,4,2,6,5,1,0,60.0,37.5,12.5,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Female,ALL,NABTEB,30,23,40,33,6,6,69.7674,35.8491,13.2075,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Female,ALL,NECO,64,45,80,64,13,12,62.6374,35.2381,13.3333,92.8571
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Female,ALL,WAEC,81,60,109,86,17,15,66.9565,34.965,12.5874,88.8889
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Female,Disabled,NABTEB,3,2,3,3,1,0,75.0,50.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Female,Disabled,NECO,6,4,7,5,1,0,62.5,33.3333,11.1111,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Female,Disabled,WAEC,7,5,9,7,1,0,70.0,33.3333,8.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Male,ALL,NABTEB,47,37,62,50,6,6,70.1493,35.8025,8.642,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Male,ALL,NECO,103,71,141,112,13,12,62.3288,35.1351,7.5676,92.8571
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Male,ALL,WAEC,129,96,164,131,16,14,67.5824,35.1852,7.8704,88.2353
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Male,Disabled,NABTEB,4,3,5,5,1,0,66.6667,42.8571,14.2857,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Male,Disabled,NECO,8,6,11,9,1,0,66.6667,35.7143,7.1429,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Comprehensive High School, Bingi South",Male,Disabled,WAEC,11,9,16,12,1,0,68.75,33.3333,4.7619,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Female,ALL,NABTEB,14,11,17,14,3,2,70.0,36.3636,13.6364,66.6667
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Female,ALL,NECO,23,16,29,22,4,3,63.6364,34.2105,10.5263,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Female,ALL,WAEC,31,23,40,33,6,5,68.1818,36.5385,11.5385,83.3333
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Female,Disabled,NABTEB,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Female,Disabled,NECO,2,2,3,2,1,0,66.6667,25.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Female,Disabled,WAEC,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Male,ALL,NABTEB,23,18,28,22,2,1,69.697,35.1351,5.4054,50.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Male,ALL,NECO,35,24,43,35,4,3,63.2653,35.0877,7.0175,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Male,ALL,WAEC,54,40,65,52,5,4,66.2338,35.2941,5.8824,80.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Male,Disabled,NABTEB,3,2,3,3,0,0,75.0,50.0,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Male,Disabled,NECO,4,2,3,2,1,0,60.0,25.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Government Secondary School, Bingi South",Male,Disabled,WAEC,4,2,5,3,1,0,60.0,33.3333,16.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Female,ALL,NABTEB,15,12,19,16,4,3,71.4286,36.0,16.0,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Female,ALL,NECO,32,22,43,35,6,6,62.2222,35.0877,12.2807,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Female,ALL,WAEC,40,30,51,41,7,7,67.8571,35.8209,11.9403,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Female,Disabled,NABTEB,2,2,2,2,1,0,66.6667,33.3333,33.3333,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Female,Disabled,NECO,2,2,3,2,1,0,66.6667,25.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Female,Disabled,WAEC,2,2,3,3,1,0,66.6667,50.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Male,ALL,NABTEB,30,23,35,28,4,3,69.7674,34.7826,8.6957,75.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Male,ALL,NECO,56,38,70,55,6,6,62.0253,34.7826,7.6087,85.7143
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Male,ALL,WAEC,70,52,87,71,7,7,66.6667,35.6522,6.9565,87.5
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Male,Disabled,NABTEB,3,2,3,3,1,0,75.0,50.0,25.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Male,Disabled,NECO,4,2,5,3,1,0,60.0,33.3333,16.6667,0.0
2022/2023,North West,Zamfara,Bungudu,Bingi South,"Unity College, Bungudu",Male,Disabled,WAEC,4,2,6,5,1,0,60.0,37.5,12.5,0.0
2022/2023,North West,Zamfara,Bungudu,Bungudu,"Community Secondary School, Bungudu",Female,ALL,NABTEB,18,14,21,17,2,1,69.2308,37.037,7.4074,50.0
2022/2023,North West,Zamfara,Bungudu,Bungudu,"Community Secondary School, Bungudu",Female,ALL,NECO,31,22,39,31,6,5,63.6364,35.2941,11.7647,83.3333
2022/2023,North West,Zamfara,Bungudu,Bungudu,"Community Secondary School, Bungudu",Female,ALL,WAEC,45,34,52,41,7,7,67.1875,35.2941,11.7647,87.5
2022/2023,North West,Zamfara,Bungudu,Bungudu,"Community Secondary School, Bungudu",Female,Disabled,NABTEB,2,2,2,2,0,0,66.6667,33.3333,0.0,0
2022/2023,North West,Zamfara,Bungudu,Bungudu,"Community Secondary School, Bungudu",Female,Disabled,NECO,3,2,4,3,1,0,75.0,40.0,20.0,0.0
2022/2023,North West,Zamfara,Bungudu,Bungudu,"Community Secondary School, Bungudu",Female,Disabled,WAEC,4,2,5,3,1,0,60.0,33.3333,16.6667,0.0
