session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NABTEB,14,11,19,19,122,110,71.4286,44.4444,533.3333,89.5833
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,NECO,23,17,31,28,232,220,66.6667,40.0,606.6667,94.5055
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,ALL,WAEC,33,26,44,38,367,320,70.5882,38.0952,685.7143,86.8056
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Disabled,NABTEB,2,2,2,0,15,13,100.0,0.0,600.0,83.3333
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Disabled,NECO,2,2,2,0,10,8,100.0,0.0,400.0,75.0
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Female,Disabled,WAEC,2,2,4,5,25,23,100.0,50.0,500.0,90.0
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,ALL,NABTEB,14,11,17,14,143,131,71.4286,37.5,700.0,91.0714
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,ALL,NECO,23,17,29,24,224,223,66.6667,35.7143,628.5714,98.8636
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,ALL,WAEC,29,24,36,33,280,259,73.3333,41.1765,647.0588,91.8182
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Disabled,NABTEB,2,2,2,0,18,15,100.0,0.0,700.0,85.7143
2022/2023,South South,Delta,Oshimili North,Akwukwu,"Community Secondary School, Akwukwu",Male,Disabled,NECO,2,2,2,0,15,13,100.0,0.0,600.0,83.3333
