session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,NABTEB,30,24,35,29,14,13,72.0,37.037,33.3333,88.8889
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,NECO,53,39,60,50,33,32,65.9091,36.9565,45.6522,95.2381
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,ALL,WAEC,67,52,78,65,44,41,70.9091,36.6667,46.6667,92.8571
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Disabled,NABTEB,2,1,3,3,0,0,50.0,50.0,0.0,0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Disabled,NECO,4,3,5,3,3,2,66.6667,25.0,50.0,50.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,Disabled,WAEC,5,4,5,3,3,2,75.0,25.0,50.0,50.0
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,NABTEB,35,28,44,38,24,22,72.4138,38.2353,44.1176,93.3333
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,NECO,61,44,74,65,35,32,66.0,38.5965,38.5965,90.9091
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,ALL,WAEC,81,64,101,88,60,57,71.6418,38.4615,48.7179,94.7368
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Disabled,NABTEB,2,3,3,3,5,3,100.0,50.0,150.0,66.6667
2022/2023,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,Disabled,NECO,4,3,5,6,3,2,66.6667,50.0,50.0,50.0
