session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,ALL,NABTEB,46,35,59,51,12,11,68.932,38.2114,17.0732,90.4762
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,ALL,NECO,73,51,92,80,17,16,62.0482,38.5417,15.1042,96.5517
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,ALL,WAEC,96,72,120,106,23,21,67.4312,38.8889,15.4762,89.7436
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Disabled,NABTEB,3,2,4,3,2,1,71.4286,37.5,37.5,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Disabled,NECO,5,3,7,5,0,0,63.6364,35.7143,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Female,Disabled,WAEC,7,5,8,7,1,1,66.6667,37.5,12.5,50.0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,ALL,NABTEB,43,33,54,47,10,9,70.1031,38.3929,15.1786,94.1176
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,ALL,NECO,83,57,104,90,23,20,62.5668,38.2488,17.9724,87.1795
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,ALL,WAEC,103,77,137,120,32,30,67.094,38.676,19.1638,92.7273
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Disabled,NABTEB,3,2,3,3,0,0,71.4286,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Disabled,NECO,6,4,8,7,2,1,64.2857,37.5,18.75,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Community Secondary School, Bahuli",Male,Disabled,WAEC,8,5,10,9,2,1,64.7059,38.0952,14.2857,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,ALL,NABTEB,22,17,25,22,8,7,70.0,37.7358,24.5283,92.3077
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,ALL,NECO,37,26,47,42,8,8,63.0952,39.3939,14.1414,92.8571
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,ALL,WAEC,42,32,51,44,10,9,67.7083,38.6792,16.9811,88.8889
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Disabled,NABTEB,3,2,4,3,2,1,71.4286,37.5,37.5,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Disabled,NECO,4,2,3,3,2,1,62.5,42.8571,42.8571,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Female,Disabled,WAEC,4,3,4,3,1,1,66.6667,33.3333,22.2222,50.0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,ALL,NABTEB,23,18,28,24,6,6,69.2308,37.931,18.9655,90.9091
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,ALL,NECO,39,27,47,40,10,9,62.9213,37.7551,17.3469,88.2353
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,ALL,WAEC,51,38,59,52,12,11,67.2414,38.7097,16.9355,85.7143
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Disabled,NABTEB,3,2,3,3,0,0,71.4286,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Disabled,NECO,4,3,5,4,0,0,66.6667,40.0,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Comprehensive High School, Bahuli",Male,Disabled,WAEC,5,4,6,5,2,1,66.6667,41.6667,25.0,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,ALL,NABTEB,33,26,46,40,8,5,69.3333,38.5417,13.5417,69.2308
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,ALL,NECO,61,42,78,69,15,14,62.7737,39.0244,15.2439,96.0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,ALL,WAEC,78,58,97,85,17,15,67.2316,38.4236,14.7783,83.3333
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Disabled,NABTEB,3,2,4,3,0,0,71.4286,37.5,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Disabled,NECO,4,2,5,4,2,1,62.5,40.0,30.0,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Female,Disabled,WAEC,4,3,4,3,1,1,66.6667,33.3333,22.2222,50.0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,ALL,NABTEB,31,24,40,35,10,7,70.0,38.5542,20.4819,70.5882
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,ALL,NECO,57,40,71,62,17,17,62.7907,38.255,20.1342,96.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,ALL,WAEC,70,52,91,80,20,17,67.0886,38.7435,18.3246,82.8571
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Disabled,NABTEB,3,2,3,3,0,0,71.4286,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Disabled,NECO,4,3,5,4,2,1,66.6667,40.0,30.0,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli",Male,Disabled,WAEC,4,3,6,5,2,1,60.0,41.6667,25.0,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,ALL,NABTEB,35,27,44,38,8,7,70.0,38.4615,14.2857,92.3077
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,ALL,NECO,73,51,87,76,15,14,62.4242,38.2514,13.6612,96.0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,ALL,WAEC,103,78,124,111,19,17,67.5214,39.2308,12.6923,87.8788
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Disabled,NABTEB,3,2,4,3,0,0,71.4286,37.5,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Disabled,NECO,6,4,7,5,2,1,61.5385,35.7143,21.4286,66.6667
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Female,Disabled,WAEC,8,6,11,10,1,1,66.6667,40.9091,9.0909,50.0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,ALL,NABTEB,40,31,51,46,10,7,70.3297,39.2523,15.8879,70.5882
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,ALL,NECO,74,51,87,76,15,15,62.2754,38.4615,14.2857,96.1538
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,ALL,WAEC,103,77,125,110,26,23,67.382,38.6973,17.2414,88.8889
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Disabled,NABTEB,3,2,3,3,0,0,71.4286,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Disabled,NECO,7,4,8,7,0,0,60.0,37.5,0.0,0
2022/2023,North East,Adamawa,Mubi North,Bahuli,"Unity College, Mubi North",Male,Disabled,WAEC,8,6,10,9,2,1,66.6667,38.0952,14.2857,66.6667
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,ALL,NABTEB,24,19,28,25,2,2,69.0909,39.6552,6.8966,75.0
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,ALL,NECO,44,31,51,46,8,7,63.0,39.2523,13.0841,85.7143
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,ALL,WAEC,58,44,69,61,9,8,67.4242,38.6207,10.3448,86.6667
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Disabled,NABTEB,3,2,4,3,0,0,71.4286,37.5,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Disabled,NECO,4,3,5,4,2,1,66.6667,40.0,30.0,66.6667
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Female,Disabled,WAEC,6,4,6,5,0,0,69.2308,38.4615,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,ALL,NABTEB,23,18,28,24,3,2,69.2308,37.931,8.6207,80.0
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,ALL,NECO,48,33,57,49,10,9,62.037,37.8151,15.1261,83.3333
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,ALL,WAEC,59,44,65,56,12,11,67.1642,38.2353,15.4412,85.7143
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Disabled,NABTEB,3,2,3,3,0,0,71.4286,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Disabled,NECO,4,3,6,5,2,2,60.0,38.4615,30.7692,75.0
2022/2023,North East,Adamawa,Mubi North,Betso,"Community Secondary School, Betso",Male,Disabled,WAEC,5,4,6,5,2,1,66.6667,41.6667,25.0,66.6667
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,ALL,NABTEB,19,14,22,18,2,2,69.0476,36.1702,8.5106,75.0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,ALL,NECO,33,23,40,36,4,4,62.1622,39.2857,8.3333,85.7143
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,ALL,WAEC,45,33,54,47,7,5,66.6667,37.7193,10.5263,75.0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Disabled,NABTEB,3,2,4,3,0,0,71.4286,37.5,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Disabled,NECO,4,2,3,3,0,0,62.5,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Female,Disabled,WAEC,4,2,4,3,0,0,62.5,33.3333,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,ALL,NABTEB,20,15,23,21,3,2,68.8889,38.7755,10.2041,80.0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,ALL,NECO,35,25,39,35,8,6,63.2911,39.5062,16.0494,76.9231
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,ALL,WAEC,50,38,62,54,10,9,67.5439,38.7597,13.1783,88.2353
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Disabled,NABTEB,3,2,3,3,0,0,71.4286,42.8571,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Disabled,NECO,3,2,3,3,0,0,57.1429,50.0,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Comprehensive High School, Betso",Male,Disabled,WAEC,4,3,4,4,0,0,66.6667,44.4444,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,ALL,NABTEB,28,22,35,30,5,5,69.8413,37.8378,12.1622,88.8889
2022/2023,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,ALL,NECO,48,33,54,47,6,5,62.037,38.3929,9.8214,72.7273
2022/2023,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,ALL,WAEC,79,59,96,84,12,11,67.0391,38.5,10.5,90.4762
2022/2023,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Disabled,NABTEB,3,2,4,3,0,0,71.4286,37.5,0.0,0
2022/2023,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso",Female,Disabled,NECO,4,3,5,4,0,0,66.6667,40.0,0.0,0
