"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Akure North","South West","Ondo","Akure North","","","0","149","102","35","29","8","0","47","67","8"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Akure South","South West","Ondo","Akure South","","","0","239","173","57","49","9","0","66","116","9"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Odigbo","South West","Ondo","Odigbo","","","0","62","48","13","14","0","0","14","35","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ondo East","South West","Ondo","Ondo East","","","0","90","64","18","18","0","0","26","46","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ondo West","South West","Ondo","Ondo West","","","0","146","105","30","27","4","0","41","75","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Akure North","South West","Ondo","Akure North","","","0","212","157","53","44","9","0","55","104","9"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Akure South","South West","Ondo","Akure South","","","0","64","45","13","9","5","0","19","32","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Odigbo","South West","Ondo","Odigbo","","","0","191","138","53","35","18","0","53","85","18"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ondo East","South West","Ondo","Ondo East","","","0","303","234","80","80","0","0","69","154","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ondo West","South West","Ondo","Ondo West","","","0","111","80","27","27","0","0","31","53","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Akure North","South West","Ondo","Akure North","","","0","72","57","18","18","0","0","15","39","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Akure South","South West","Ondo","Akure South","","","0","154","106","35","31","4","0","48","71","4"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Odigbo","South West","Ondo","Odigbo","","","0","204","150","52","44","8","0","54","98","8"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Ondo East","South West","Ondo","Ondo East","","","0","85","64","26","17","9","0","21","38","9"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Ondo West","South West","Ondo","Ondo West","","","0","196","145","44","44","0","0","51","101","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Akure North","South West","Ondo","Akure North","","","0","92","71","25","24","5","0","21","46","5"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Akure South","South West","Ondo","Akure South","","","0","160","115","43","35","9","0","45","72","9"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Odigbo","South West","Ondo","Odigbo","","","0","41","32","8","9","0","0","9","24","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Ondo East","South West","Ondo","Ondo East","","","0","54","38","8","8","0","0","16","30","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Ondo West","South West","Ondo","Ondo West","","","0","92","68","21","22","0","0","24","47","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Akure North","South West","Ondo","Akure North","","","0","137","100","41","32","9","0","37","59","9"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Akure South","South West","Ondo","Akure South","","","0","36","26","8","9","0","0","10","18","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Odigbo","South West","Ondo","Odigbo","","","0","116","83","31","22","10","0","33","52","10"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Ondo East","South West","Ondo","Ondo East","","","0","186","135","52","44","9","0","51","83","9"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Ondo West","South West","Ondo","Ondo West","","","0","72","54","17","18","0","0","18","37","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Akure North","South West","Ondo","Akure North","","","0","49","38","18","8","10","0","11","20","10"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Akure South","South West","Ondo","Akure South","","","0","95","64","17","19","0","0","31","47","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Odigbo","South West","Ondo","Odigbo","","","0","128","96","35","31","4","0","32","61","4"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Ondo East","South West","Ondo","Ondo East","","","0","54","39","13","13","0","0","15","26","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Ondo West","South West","Ondo","Ondo West","","","0","126","90","30","22","9","0","36","60","9"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Akure North","South West","Ondo","Akure North","","","0","62","45","20","24","0","0","17","25","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Akure South","South West","Ondo","Akure South","","","0","102","82","28","31","0","0","20","54","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Odigbo","South West","Ondo","Odigbo","","","0","25","17","8","9","0","0","8","9","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Ondo East","South West","Ondo","Ondo East","","","0","36","26","8","9","0","0","10","18","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Ondo West","South West","Ondo","Ondo West","","","0","62","43","16","17","0","0","19","27","0"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Akure North","South West","Ondo","Akure North","","","0","87","65","22","22","2","0","22","43","2"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Akure South","South West","Ondo","Akure South","","","0","26","17","8","9","0","0","9","9","0"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Odigbo","South West","Ondo","Odigbo","","","0","71","52","20","23","0","0","19","32","0"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Ondo East","South West","Ondo","Ondo East","","","0","124","97","32","35","0","0","27","65","0"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Ondo West","South West","Ondo","Ondo West","","","0","44","36","12","13","0","0","8","24","0"
"2019/2020","Female","all","NABTEB","3-5-year","University","lga","Akure North","South West","Ondo","Akure North","","","0","34","26","8","8","0","0","8","18","0"
