session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Oshimili North,South South,Delta,Oshimili North,,,0,187,128,39,35,5,0,59,89,5
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Oshimili South,South South,Delta,Oshimili South,,,0,31,22,11,11,0,0,9,11,0
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Uvwie,South South,Delta,Uvwie,,,0,298,203,67,53,15,0,95,136,15
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Warri North,South South,Delta,Warri North,,,0,51,38,12,10,2,0,13,26,2
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Warri South,South South,Delta,Warri South,,,0,77,57,23,23,0,0,20,34,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Oshimili North,South South,Delta,Oshimili North,,,0,137,100,44,34,11,0,37,56,11
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Oshimili South,South South,Delta,Oshimili South,,,0,333,230,82,62,22,0,103,148,22
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Uvwie,South South,Delta,Uvwie,,,0,145,102,39,39,0,0,43,63,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Warri North,South South,Delta,Warri North,,,0,256,171,67,62,5,0,85,104,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Warri South,South South,Delta,Warri South,,,0,69,47,16,17,0,0,22,31,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Oshimili North,South South,Delta,Oshimili North,,,0,109,71,27,23,5,0,38,44,5
2019/2020,Female,all,NABTEB,1-year,University,lga,Oshimili South,South South,Delta,Oshimili South,,,0,102,68,23,23,0,0,34,45,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Uvwie,South South,Delta,Uvwie,,,0,28,19,5,6,0,0,9,14,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Warri North,South South,Delta,Warri North,,,0,129,97,38,28,11,0,32,59,11
2019/2020,Female,all,NABTEB,1-year,University,lga,Warri South,South South,Delta,Warri South,,,0,281,190,67,62,5,0,91,123,5
