session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Agaie,North Central,Niger,Agaie,,,0,163,115,52,37,15,0,48,63,15
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Bida,North Central,Niger,Bida,,,0,257,180,60,55,7,0,77,120,7
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Chanchaga,North Central,Niger,Chanchaga,,,0,177,128,45,29,16,0,49,83,16
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Kontagora,North Central,Niger,Kontagora,,,0,27,21,7,8,0,0,6,14,0
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Suleja,North Central,Niger,Suleja,,,0,307,215,83,74,9,0,92,132,9
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Agaie,North Central,Niger,Agaie,,,0,314,218,96,66,30,0,96,122,30
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Bida,North Central,Niger,Bida,,,0,61,42,16,16,0,0,19,26,0
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Chanchaga,North Central,Niger,Chanchaga,,,0,46,35,15,7,8,0,11,20,8
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Kontagora,North Central,Niger,Kontagora,,,0,227,159,61,55,7,0,68,98,7
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Suleja,North Central,Niger,Suleja,,,0,65,49,22,22,0,0,16,27,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Agaie,North Central,Niger,Agaie,,,0,40,31,7,7,0,0,9,24,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Bida,North Central,Niger,Bida,,,0,136,94,30,32,0,0,42,64,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Chanchaga,North Central,Niger,Chanchaga,,,0,279,197,75,76,0,0,82,122,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Kontagora,North Central,Niger,Kontagora,,,0,176,122,38,40,0,0,54,84,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Suleja,North Central,Niger,Suleja,,,0,97,70,29,31,0,0,27,41,0
2019/2020,Female,all,NABTEB,2-year,College of Education,lga,Agaie,North Central,Niger,Agaie,,,0,99,73,30,23,8,0,26,43,8
2019/2020,Female,all,NABTEB,2-year,College of Education,lga,Bida,North Central,Niger,Bida,,,0,156,115,53,48,7,0,41,62,7
