"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Aba North","South East","Abia","Aba North","","","0","243","167","45","40","5","0","76","122","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Aba South","South East","Abia","Aba South","","","0","157","107","30","31","0","0","50","77","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Arochukwu","South East","Abia","Arochukwu","","","0","170","125","47","32","15","0","45","78","15"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Umuahia North","South East","Abia","Umuahia North","","","0","120","87","31","20","11","0","33","56","11"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Umuahia South","South East","Abia","Umuahia South","","","0","241","178","68","62","7","0","63","110","7"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Aba North","South East","Abia","Aba North","","","0","83","62","25","26","0","0","21","37","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Aba South","South East","Abia","Aba South","","","0","101","72","25","21","5","0","29","47","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Arochukwu","South East","Abia","Arochukwu","","","0","143","100","35","36","0","0","43","65","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Umuahia North","South East","Abia","Umuahia North","","","0","167","118","40","35","5","0","49","78","5"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Umuahia South","South East","Abia","Umuahia South","","","0","145","115","48","31","17","0","30","67","17"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Aba North","South East","Abia","Aba North","","","0","82","59","15","16","0","0","23","44","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Aba South","South East","Abia","Aba South","","","0","226","164","46","41","6","0","62","118","6"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Arochukwu","South East","Abia","Arochukwu","","","0","163","122","41","37","5","0","41","81","5"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Umuahia North","South East","Abia","Umuahia North","","","0","190","135","51","45","6","0","55","84","6"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Umuahia South","South East","Abia","Umuahia South","","","0","71","55","21","16","6","0","16","34","6"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Aba North","South East","Abia","Aba North","","","0","158","114","40","40","0","0","44","74","0"
