"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Argungu","North West","Kebbi","Argungu","","","0","141","84","26","29","0","0","57","58","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","0","124","71","29","24","5","0","53","42","5"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Kalgo","North West","Kebbi","Kalgo","","","0","151","87","33","29","4","0","64","54","4"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Yauri","North West","Kebbi","Yauri","","","0","69","43","14","14","0","0","26","29","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Zuru","North West","Kebbi","Zuru","","","0","67","35","14","14","0","0","32","21","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Argungu","North West","Kebbi","Argungu","","","0","174","103","36","38","0","0","71","67","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","0","127","76","23","23","0","0","51","53","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Kalgo","North West","Kebbi","Kalgo","","","0","69","40","10","10","0","0","29","30","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Yauri","North West","Kebbi","Yauri","","","0","126","73","23","24","0","0","53","50","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Zuru","North West","Kebbi","Zuru","","","0","163","99","31","27","4","0","64","68","4"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Argungu","North West","Kebbi","Argungu","","","0","81","48","18","18","0","0","33","30","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Birnin Kebbi","North West","Kebbi","Birnin Kebbi","","","0","212","127","55","45","10","0","85","72","10"
