session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Female,all,Non-STEMM,Social Sciences,Political Science,401,368
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Female,all,Non-STEMM,Social Sciences,Psychology,112,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Female,all,STEMM,Mathematics / Statistics,Statistics,24,22
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Female,all,Non-STEMM,Social Sciences,Political Science,401,368
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Female,all,Non-STEMM,Social Sciences,Psychology,112,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Female,all,STEMM,Mathematics / Statistics,Statistics,24,22
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Female,all,Non-STEMM,Social Sciences,Political Science,401,368
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Female,all,Non-STEMM,Social Sciences,Psychology,112,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Female,all,STEMM,Mathematics / Statistics,Statistics,23,22
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Female,all,Non-STEMM,Social Sciences,Political Science,401,368
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Female,all,Non-STEMM,Social Sciences,Psychology,112,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Female,all,STEMM,Mathematics / Statistics,Statistics,23,22
2022/2023,South East,Abia,Aba South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,South East,Abia,Aba South,Polytechnic,Other Polytechnic Admissions - Abia 1,Female,all,STEMM,Agriculture,Animal Science,131,120
2022/2023,South East,Abia,Aba South,Polytechnic,Other Polytechnic Admissions - Abia 1,Female,all,STEMM,Environmental Sciences,Estate Management,2,1
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,11,10
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,11,10
2022/2023,South East,Abia,Arochukwu,School of Health,Other School of Health Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Abia,Arochukwu,Seminary/Theological College,Other Seminary/Theological College Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Female,all,STEMM,Environmental Sciences,Estate Management,13,13
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Female,all,STEMM,Medicine / Health Sciences,Physiology,94,87
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Male,all,Non-STEMM,Social Sciences,Political Science,403,370
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Male,all,Non-STEMM,Social Sciences,Psychology,112,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 1,Male,all,STEMM,Mathematics / Statistics,Statistics,32,29
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Male,all,Non-STEMM,Social Sciences,Political Science,403,370
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Male,all,Non-STEMM,Social Sciences,Psychology,113,104
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 2,Male,all,STEMM,Mathematics / Statistics,Statistics,32,29
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Male,all,Non-STEMM,Social Sciences,Political Science,403,370
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Male,all,Non-STEMM,Social Sciences,Psychology,113,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 3,Male,all,STEMM,Mathematics / Statistics,Statistics,32,29
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Male,all,Non-STEMM,Social Sciences,Political Science,403,370
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Male,all,Non-STEMM,Social Sciences,Psychology,112,103
2022/2023,South East,Abia,Aba North,University,Other University Admissions - Abia 4,Male,all,STEMM,Mathematics / Statistics,Statistics,32,29
2022/2023,South East,Abia,Aba South,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,7,7
2022/2023,South East,Abia,Aba South,Polytechnic,Other Polytechnic Admissions - Abia 1,Male,all,STEMM,Agriculture,Animal Science,175,161
2022/2023,South East,Abia,Aba South,Polytechnic,Other Polytechnic Admissions - Abia 1,Male,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,15,14
2022/2023,South East,Abia,Arochukwu,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,15,14
2022/2023,South East,Abia,Arochukwu,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,South East,Abia,Arochukwu,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,2,2
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Male,all,STEMM,Environmental Sciences,Estate Management,18,17
2022/2023,South East,Abia,Umuahia North,College of Education,Other College of Education Admissions - Abia 1,Male,all,STEMM,Medicine / Health Sciences,Physiology,71,65
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,185,169
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Female,all,Non-STEMM,Education,Social Studies Education,1453,1333
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Environmental Sciences,Estate Management,24,22
2022/2023,North Central,Abuja Federal Capital Territory,Kwali,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 1,Female,all,STEMM,Environmental Sciences,Estate Management,13,13
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,Monotechnic,Other Monotechnic Admissions 2,Female,all,STEMM,Environmental Sciences,Estate Management,14,14
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Mathematics / Statistics,Mathematics,1067,981
2022/2023,North Central,Abuja Federal Capital Territory,Municipal Area Council,University,Other University Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Medicine / Health Sciences,Physiology,164,151
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Environmental Sciences,Estate Management,8,8
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Environmental Sciences,Urban and Regional Planning,229,209
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Seminary/Theological College,Other Seminary/Theological College Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,all,Non-STEMM,Education,Social Studies Education,1138,1048
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,College of Education,Other College of Education Admissions - Abuja Federal Capital Territory 1,Male,all,STEMM,Environmental Sciences,Estate Management,33,31
2022/2023,North Central,Abuja Federal Capital Territory,Gwagwalada,School of Health,Other School of Health Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,North Central,Abuja Federal Capital Territory,Kwali,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,8,8
