session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Arts,Law,11,9,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Broadcasting,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Development Communication,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Journalism and Media Studies,7,5,4
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Public Relations,9,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Banking and Finance,10,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Business Administration,8,6,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Mass Communication,6,5,4
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Public Administration,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Biological Sciences,Biochemistry,7,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Computing / ICT,Computer Science,8,6,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Engineering,Chemical Engineering,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Engineering,Mechatronics Engineering,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Engineering,Petroleum Engineering,10,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Actuarial Science,11,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Applied Mathematics,10,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Operations Research,9,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Statistics,7,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Physical Sciences,Microbiology,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Science,Geology,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Science,Industrial Chemistry,11,8,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Science,Plant Science,8,7,6
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Technology / ICT,Cybersecurity,8,6,5
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Technology / ICT,Information Systems,9,7,7
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Arts,Law,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Broadcasting,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Development Communication,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Public Relations,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Banking and Finance,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Business Administration,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Mass Communication,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Public Administration,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Engineering,Chemical Engineering,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Engineering,Mechatronics Engineering,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Engineering,Petroleum Engineering,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Actuarial Science,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Applied Mathematics,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Operations Research,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Mathematics / Statistics,Statistics,1,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,STEMM,Physical Sciences,Microbiology,1,1,1
